domain,severity,public_comment,reject_media,reject_reports,obfuscate
076.moe,suspend,,False,False,False
10minutepleroma.com,suspend,,False,False,False
1611.social,suspend,,False,False,False
2.distsn.org,suspend,,False,False,False
80percent.social,suspend,,False,False,False
a.sc,suspend,,False,False,False
abraham.su,suspend,,False,False,False
activism.openworlds.info,suspend,,False,False,False
activitypub-troll.cf,suspend,,False,False,False
aethy.com,suspend,,False,False,False
agates.io,suspend,,False,False,False
ak.kawen.space,suspend,,False,False,False
ak.kyaruc.moe,suspend,,False,False,False
akko.disqordia.space,suspend,,False,False,False
akko.saturno.black,suspend,,False,False,False
albin.social,suspend,,False,False,False
ancreport.com,suspend,,False,False,False
anime.website,suspend,,False,False,False
anitwitter.moe,silence,,False,False,False
ap.maladaptive.art,suspend,,False,False,False
arachnid.town,suspend,,False,False,False
arasaka.vip,suspend,,False,False,False
archivefedifor.fun,suspend,,False,False,False
argentum.social,suspend,,False,False,False
aria.company,suspend,,False,False,False
aria.dog,suspend,,False,False,False
ariona.fr,suspend,,False,False,False
artalley.social,silence,,False,False,False
arthaus.social,silence,,False,False,False
asbestos.cafe,suspend,,False,False,False
asimon.org,suspend,,False,False,False
aspiechattr.me,suspend,,False,False,False
assortedflotsam.com,suspend,,False,False,False
b.9chan.lol,suspend,,False,False,False
babay.icu,suspend,,False,False,False
badly.co,suspend,,False,False,False
bae.st,suspend,,False,False,False
bajax.us,suspend,,False,False,False
bar.arumoon.ru,suspend,,False,False,False
baraag.net,suspend,,False,False,False
beefyboys.club,suspend,,False,False,False
beefyboys.win,suspend,,False,False,False
beehub.org,suspend,,False,False,False
berserker.town,suspend,,False,False,False
beta.birdsite.live,silence,,False,False,False
beta.mstdn.cf,suspend,,False,False,False
bigguys.club,suspend,,False,False,False
bikeshed.party,suspend,,False,False,False
bird.makeup,suspend,,False,False,False
birdsite.wilde.cloud,suspend,,False,False,False
birdsitelive.moistgarbage.info,suspend,,False,False,False
bitcoin.ninja,suspend,,False,False,False
bitcoinhackers.org,silence,,False,False,False
bitcoinlizard.net,suspend,,False,False,False
bitcointv.com,suspend,,False,False,False
bka.li,suspend,,False,False,False
blob.cat,suspend,,False,False,False
blockedur.mom,suspend,,False,False,False
boingo00.wtf,suspend,,False,False,False
bookwor.ms,silence,,False,False,False
breastmilk.club,suspend,,False,False,False
brighteon.social,suspend,,False,False,False
brotka.st,suspend,,False,False,False
btrf.ly,suspend,,False,False,False
bubbletea.dev,suspend,,False,False,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,,False,False,False
bungle.online,suspend,,False,False,False
busshi.moe,suspend,,False,False,False
bylines.social,suspend,,False,False,False
cachapa.moe,suspend,,False,False,False
cachapa.xyz,suspend,,False,False,False
cafkafk.com,suspend,,False,False,False
carnivore.social,suspend,,False,False,False
carrot.army,suspend,,False,False,False
cawfee.club,suspend,,False,False,False
cf,suspend,,False,False,False
china.al,silence,,False,False,False
chudbuds.lol,suspend,,False,False,False
chungus.cc,suspend,,False,False,False
cliterati.club,suspend,,False,False,False
cloudisland.online,suspend,,False,False,False
cloutfa.re,suspend,,False,False,False
clubcyberia.co,suspend,,False,False,False
cock.li,suspend,,False,False,False
collapsitarian.io,suspend,,False,False,False
comfyboy.club,suspend,,False,False,False
community.halle-leaks.de,suspend,,False,False,False
computerfairi.es,suspend,,False,False,False
coom.club,suspend,,False,False,False
creativity.cafe,suspend,,False,False,False
crlf.ninja,suspend,,False,False,False
crowleyclub.com,suspend,,False,False,False
crucible.world,suspend,,False,False,False
crypto-group-buy.com,suspend,,False,False,False
cryptocartel.social,suspend,,False,False,False
cryptodon.lol,suspend,,False,False,False
cryptotalks.social,suspend,,False,False,False
cryptotooter.com,suspend,,False,False,False
csdisaster.club,suspend,,False,False,False
cum.camp,suspend,,False,False,False
cum.desupost.soy,suspend,,False,False,False
cum.salon,suspend,,False,False,False
cyberstorm.one,suspend,,False,False,False
cybrkyd.com,suspend,,False,False,False
cyzed.com,suspend,,False,False,False
d-fens.systems,suspend,,False,False,False
daishouri.moe,suspend,,False,False,False
danksquad.org,suspend,,False,False,False
danksquad.xyz,suspend,,False,False,False
danrees.me,suspend,,False,False,False
dark-alexandr.net,suspend,,False,False,False
daspr.io,suspend,,False,False,False
deepnexus.link,suspend,,False,False,False
definitely-not-archivefedifor.fun,suspend,,False,False,False
democracy.town,silence,,False,False,False
desuposter.club,suspend,,False,False,False
detroitriotcity.com,suspend,,False,False,False
develop.gab.com,suspend,,False,False,False
diamondelizaa.com,suspend,,False,False,False
dickkickextremist.xyz,suspend,,False,False,False
dirtyhobby.xyz,silence,,False,False,False
dissident.business,suspend,,False,False,False
dixies.land,suspend,,False,False,False
djsumdog.com,suspend,,False,False,False
dlf.social,suspend,,False,False,False
dobbs.town,suspend,,False,False,False
dogsex.org,suspend,,False,False,False
drow.be,suspend,,False,False,False
dtzbts.xyz,suspend,,False,False,False
duckdns.org,suspend,,False,False,False
eatthebugs.social,suspend,,False,False,False
eientei.org,suspend,,False,False,False
eightpoint.app,suspend,,False,False,False
elekk.xyz,suspend,,False,False,False
elonsucks.org,suspend,,False,False,False
endtimebelievers.com,suspend,,False,False,False
epenguin.com,suspend,,False,False,False
equel.social,suspend,,False,False,False
eveningzoo.club,suspend,,False,False,False
f.ckpg.space,suspend,,False,False,False
f.haeder.net,suspend,,False,False,False
fandom.community,suspend,,False,False,False
fans.sonichu.com,suspend,,False,False,False
fapsi.be,suspend,,False,False,False
federated.fun,suspend,,False,False,False
federatedfandom.net,suspend,,False,False,False
fedi.absturztau.be,suspend,,False,False,False
fedi.app,suspend,,False,False,False
fedi.intkos.link,suspend,,False,False,False
fedi.pawlicker.com,suspend,,False,False,False
fedi.site,suspend,,False,False,False
fedichive.tk,suspend,,False,False,False
fedicy.allowed.org,suspend,,False,False,False
fedsearch.io,suspend,,False,False,False
feline.rodeo,suspend,,False,False,False
feminism.lgbt,silence,,False,False,False
feral.cafe,suspend,,False,False,False
fightbig.tech,suspend,,False,False,False
fightforthefuture.org,suspend,,False,False,False
fightthis.net,suspend,,False,False,False
foxarmy.org,suspend,,False,False,False
fr13nd5.com,suspend,,False,False,False
freak.university,suspend,,False,False,False
freeatlantis.com,suspend,,False,False,False
freecumextremist.com,suspend,,False,False,False
freedomstrike.net,suspend,,False,False,False
freedomstrike.org,suspend,,False,False,False
freefedifollowers.ga,suspend,,False,False,False
freesoftwareextremist.com,suspend,,False,False,False
freespeech.firedragonstudios.com,suspend,,False,False,False
freespeech.group,suspend,,False,False,False
freespeech.host,suspend,,False,False,False
freespeechextremist.com,suspend,,False,False,False
freetalklive.com,suspend,,False,False,False
freevoice.space,suspend,,False,False,False
freewahaextremist.wtf,suspend,,False,False,False
freezepeach.online,suspend,,False,False,False
freezepeach.xyz,suspend,,False,False,False
frennet.xyz,suspend,,False,False,False
frens.mahodou.moe,suspend,,False,False,False
