domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.ne.jp,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
2ar.xyz,suspend,False,False,,False
434.earth,suspend,False,False,,False
4aem.com,suspend,False,False,,False
4qq.org,suspend,False,False,,False
7td.org,suspend,False,False,,False
80percent.social,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.nti.social,suspend,False,False,,False
absturztau.be,silence,False,False,,False
activism.openworlds.info,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
adachi.party,suspend,False,False,,False
aethy.com,suspend,False,False,,False
afd.best,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
agdersam.no,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
alaska.community,suspend,False,False,,False
albin.social,suspend,False,False,,False
alpaca.gold,suspend,False,False,,False
anakut.org,suspend,False,False,,False
ancreport.com,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
animalliberation.social,suspend,False,False,,False
anime.website,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
anitwitter.moe,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
anti-degeneracy.club,suspend,False,False,,False
antivaxxer.icu,suspend,False,False,,False
ap.capslock.dev,suspend,False,False,,False
ap.manji.dev,suspend,False,False,,False
ap.space-over-the.space,suspend,False,False,,False
ap.taiki.net,suspend,False,False,,False
arachnid.town,silence,False,False,,False
archivefedifor.fun,suspend,False,False,,False
aria.company,suspend,False,False,,False
armstube.com,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
aspiechattr.me,silence,False,False,,False
aspirant.de,suspend,False,False,,False
atomicblon.de,suspend,False,False,,False
atyh.cc,suspend,False,False,,False
autizmo.xyz,suspend,False,False,,False
awoo.fyi,silence,False,False,,False
azumanga.gay,silence,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
based.directory,suspend,False,False,,False
bassam.social,suspend,False,False,,False
battlepenguin.video,suspend,False,False,,False
bearygoosey.com,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beehub.org,suspend,False,False,,False
beest.hinasense.jp,suspend,False,False,,False
berserker.town,suspend,False,False,,False
bgp.social,suspend,False,False,,False
bida.im,silence,False,False,,False
bikeshed.party,suspend,False,False,,False
binarydad.com,suspend,False,False,,False
bitacadie.com,silence,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
bitcointv.com,suspend,False,False,,False
bittube.video,suspend,False,False,,False
bkryer.com,suspend,False,False,,False
blob.cat,suspend,False,False,,False
blockedur.mom,suspend,False,False,,False
blovice.bahnhof.cz,suspend,False,False,,False
bodybuilding.im,suspend,False,False,,False
boks.moe,suspend,False,False,,False
bolha.one,silence,False,False,,False
bolha.us,silence,False,False,,False
boobytooth.social,suspend,False,False,,False
boomer.website,suspend,False,False,,False
boseburo.ddns.net,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
brapbarn.farm,suspend,False,False,,False
brasileiros.social,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
brotka.st,suspend,False,False,,False
buckeye.social,suspend,False,False,,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,False,False,,False
burggit.moe,suspend,False,False,,False
busshi.moe,suspend,False,False,,False
bussy.monster,suspend,False,False,,False
bwzone.xyz,suspend,False,False,,False
bylines.social,silence,False,False,,False
c.im,silence,False,False,,False
cachapa.xyz,suspend,False,False,,False
calckey.cloud,suspend,False,False,,False
calckey.social,suspend,False,False,,False
campduffel.social,suspend,False,False,,False
canberrasocial.net,suspend,False,False,,False
carnal-gabhub.protohype.net,suspend,False,False,,False
carrot.army,suspend,False,False,,False
cat.social,silence,False,False,,False
catgirl.life,suspend,False,False,,False
catgram.co,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
cdrom.tokyo,suspend,False,False,,False
celebrity.social,suspend,False,False,,False
censorship.icu,suspend,False,False,,False
cesko.social,suspend,False,False,,False
chamba.social,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chudbuds.org,suspend,False,False,,False
chungus.cc,suspend,False,False,,False
civiq.social,suspend,False,False,,False
ckpg.space,suspend,False,False,,False
clew.lol,suspend,False,False,,False
cliterati.club,suspend,False,False,,False
cloudflare.social,suspend,False,False,,False
cloutfla.re,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
clube.social,suspend,False,False,,False
cmpwn.com,suspend,False,False,,False
cocaine.moe,silence,False,False,,False
cock.fish,suspend,False,False,,False
cofe.moe,suspend,False,False,,False
coinfundit.com,silence,False,False,,False
collapsitarian.io,suspend,False,False,,False
comfysnug.space,suspend,False,False,,False
comm.network,silence,False,False,,False
community.highlandarrow.com,suspend,False,False,,False
conchrepublic.social,suspend,False,False,,False
contrapointsfan.club,silence,False,False,,False
controverse.tube,suspend,False,False,,False
coolest.zone,silence,False,False,,False
coolsite.win,suspend,False,False,,False
coom.club,suspend,False,False,,False
counter.social,suspend,False,False,,False
cpluspatch.com,suspend,False,False,,False
crlf.ninja,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryo.icu,silence,False,False,,False
cryptids.online,silence,False,False,,False
crypto-group-buy.com,suspend,False,False,,False
cryptocartel.social,silence,False,False,,False
cryptotalks.social,silence,False,False,,False
cryptotooter.com,silence,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cyberfuck.club,suspend,False,False,,False
cyberretards.xyz,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
d2l.masto.host,suspend,False,False,,False
daffodil-11.org,silence,False,False,,False
danksquad.org,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
daspr.io,suspend,False,False,,False
dbuild.xyz,suspend,False,False,,False
dcomm.net.ua,silence,False,False,,False
dd0s.lol,suspend,False,False,,False
deacon.social,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
declin.eu,suspend,False,False,,False
deepnexus.link,suspend,False,False,,False
definitely-not-archivefedifor.fun,suspend,False,False,,False
degenerates.fail,suspend,False,False,,False
degooglization.icu,suspend,False,False,,False
deko.cloud,silence,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dev.rob365.online,suspend,False,False,,False
develop.gab.com,suspend,False,False,,False
devtube.dev-wiki.de,suspend,False,False,,False
diamondelizaa.com,silence,False,False,,False
diaspsocial.com,suspend,False,False,,False
dickkickextremist.xyz,suspend,False,False,,False
dickshow.social,suspend,False,False,,False
dindon.one,silence,False,False,,False
dingdash.com,suspend,False,False,,False
dirtyhobby.xyz,silence,False,False,,False
disqordia.space,suspend,False,False,,False
dissident.business,suspend,False,False,,False
distrotoot.com,suspend,False,False,,False
dixies.land,suspend,False,False,,False
djitter.com,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dline.xyz,silence,False,False,,False
doctors4covidethics.org,suspend,False,False,,False
dogfood.social,suspend,False,False,,False
domo.cafe,suspend,False,False,,False
donteatanimals.org,suspend,False,False,,False
dragonborn.app,suspend,False,False,,False
dragonpsi.xyz,suspend,False,False,,False
dresden.network,silence,False,False,,False
drow.be,suspend,False,False,,False
dtzbts.xyz,suspend,False,False,,False
due.ren,suspend,False,False,,False
ebin.club,suspend,False,False,,False
ebin.zone,silence,False,False,,False
ediot.social,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eightpoint.app,silence,False,False,,False
elementality.org,suspend,False,False,,False
emaw.social,suspend,False,False,,False
endtimebelievers.com,suspend,False,False,,False
enes.lv,suspend,False,False,,False
enigmatic.observer,suspend,False,False,,False
entire.social,suspend,False,False,,False
epenguin.com,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
equel.social,silence,False,False,,False
eskimo.com,silence,False,False,,False
eveningzoo.club,suspend,False,False,,False
exited.eu,suspend,False,False,,False
expired.mentality.rip,silence,False,False,,False
exploding-heads.com,suspend,False,False,,False
explosion.party,suspend,False,False,,False
extremelywoke.club,suspend,False,False,,False
extropian.net,silence,False,False,,False
fed.celp.de,silence,False,False,,False
federated.fun,suspend,False,False,,False
fedi.absturztau.be,suspend,False,False,,False
fedi.app,suspend,False,False,,False
fedi.gealdor.space,silence,False,False,,False
fedi.live,suspend,False,False,,False
fedi.lucasvl.nl,silence,False,False,,False
fedi.site,suspend,False,False,,False
fedi.z0ne.moe,suspend,False,False,,False
fedibeest.social,suspend,False,False,,False
fedichive.tk,suspend,False,False,,False
fedicy.allowed.org,suspend,False,False,,False
fediway.com,suspend,False,False,,False
fedposters.club,suspend,False,False,,False
feed.birdcar.dev,suspend,False,False,,False
femboys.love,suspend,False,False,,False
feminism.lgbt,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fightbig.tech,suspend,False,False,,False
firefaithfellowship.com,suspend,False,False,,False
firefish.social,suspend,False,False,,False
fiume.club,suspend,False,False,,False
flipboard.social,silence,False,False,,False
floppy.tokyo,suspend,False,False,,False
fog.highspirits.games,silence,False,False,,False
forum.decisiveliberty.news,suspend,False,False,,False
forum.fail,suspend,False,False,,False
fosstodon.org,suspend,False,False,,False
fourthestate.social,suspend,False,False,,False
foxarmy.org,suspend,False,False,,False
foxfam.club,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freebird.gdn,suspend,False,False,,False
freecumextremist.com,suspend,False,False,,False
freedomofpress.rocks,suspend,False,False,,False
freedomstrike.net,suspend,False,False,,False
freefedifollowers.ga,suspend,False,False,,False
freeside.online,suspend,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.firedragonstudios.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeech.host,suspend,False,False,,False
freespeech.icu,suspend,False,False,,False
freespeech.institute,suspend,False,False,,False
freespeech.tube,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freespeechtube.org,suspend,False,False,,False
freetalklive.com,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
freevoice.space,suspend,False,False,,False
freezepeach.xyz,suspend,False,False,,False
frennet.link,suspend,False,False,,False
friends.nico,suspend,False,False,,False
froth.zone,suspend,False,False,,False
fuckedtodeath.net,silence,False,False,,False
fulltermprivacy.com,suspend,False,False,,False
functor.pro,suspend,False,False,,False
furcel.club,suspend,False,False,,False
futomomo.life,suspend,False,False,,False
gab.ai,suspend,False,False,,False
gab.com,suspend,False,False,,False
gab.io,suspend,False,False,,False
gab.polaris-1.work,suspend,False,False,,False
gab.protohype.net,suspend,False,False,,False
gab.sleeck.eu,suspend,False,False,,False
gabble.xyz,suspend,False,False,,False
