domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.ne.jp,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,iftas:hate-speech;online-harassment,True
1611.social,suspend,False,False,iftas:hate-speech;online-harassment,True
4aem.com,suspend,False,False,,False
5dollah.click,suspend,False,False,"anti-lgbtq, harassment, hate-associated, hate-speech, racism, spam",False
80percent.social,suspend,False,False,,False
8777.ch,suspend,False,False,,False
9yo.punipoka.pink,suspend,False,False,iftas:csam,True
abraham.su,suspend,False,False,,False
absolutelyproprietary.org,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,iftas:service-abuse,True
activitypub-troll.cf,suspend,False,False,"dos, harassment, spam, iftas:service-abuse",True
adachi.party,suspend,False,False,"harassment, hate-associated, hate-speech, racism",False
adtension.com,suspend,False,False,,False
aethy.com,suspend,False,False,"inappropriate, underage, iftas:csam",True
agdersam.no,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
alive.bar,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
ancreport.com,suspend,False,False,,False
ancreport.xyz,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
annihilation.social,suspend,False,False,"harassment, hate-associated, hate-speech",False
anon-kenkai.com,suspend,False,False,,False
ap.invalid,suspend,False,False,iftas:canary,True
arell.ai,suspend,False,False,"bots, spam",False
asbestos.cafe,suspend,False,False,"alt-right, anti-lgbtq, hate-associated, hate-speech, racism, underage",False
asimon.org,suspend,False,False,,False
awakari.app,suspend,False,False,,False
awakari.com,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,"alt-right, anti-lgbtq, harassment, hate-associated, hate-speech, inappropriate, nazism, racism, iftas:hate-speech;online-harassment",True
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,"hate-associated, inappropriate, underage, iftas:csam",True
bassam.social,suspend,False,False,,False
battlepenguin.video,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,"alt-right, anti-lgbtq, hate-associated, hate-speech, iftas:hate-speech",True
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,"alt-right, anti-lgbtq, fascism, hate-speech",False
bgzashtita.es,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
bird.makeup,suspend,False,False,"bots, twitter",False
birds.garden,suspend,False,False,,False
bitcointv.com,suspend,False,False,,False
blob.cat,suspend,False,False,"harassment, porn",False
blockedur.mom,suspend,False,False,,False
boymoder.biz,suspend,False,False,"anti-lgbtq, harassment, hate-associated, hate-speech, racism, underage, iftas:online-harassment",True
brainsoap.net,suspend,False,False,,False
breastmilk.club,suspend,False,False,"anti-lgbtq, harassment, hate-associated, hate-speech, racism",False
brighteon.social,suspend,False,False,"alt-right, conspiracy, hate-speech, iftas:disinformation",True
bungle.online,suspend,False,False,"hate-associated, racism",False
burger.rodeo,suspend,False,False,,False
burggit.moe,suspend,False,False,,False
cachapa.cc,suspend,False,False,,False
cachapa.xyz,suspend,False,False,"hate-speech, racism",False
caekis.love,suspend,False,False,,False
calobar.club,suspend,False,False,,False
cannibal.cafe,suspend,False,False,"inappropriate, underage",False
catposter.club,suspend,False,False,,False
cawfee.club,suspend,False,False,"hate-associated, hate-speech, racism, iftas:csam",True
childlove.space,suspend,False,False,iftas:csam,True
childlove.su,suspend,False,False,iftas:csam,True
clew.lol,suspend,False,False,"hate-associated, hate-speech, racism, iftas:hate-speech;online-harassment",True
clubcyberia.co,suspend,False,False,"harassment, hate-speech, racism",False
clube.social,suspend,False,False,,False
collapsitarian.io,suspend,False,False,"alt-right, hate-associated",False
contrapointsfan.club,suspend,False,False,"hate-associated, hate-speech",False
coolsite.win,suspend,False,False,,False
cottoncandy.cafe,suspend,False,False,"inappropriate, underage, iftas:csam",True
crlf.ninja,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryptodon.lol,suspend,False,False,crypto,False
cryptotooter.com,suspend,False,False,,False
cum.camp,suspend,False,False,"harassment, inappropriate",False
cum.salon,suspend,False,False,"hate-speech, porn, iftas:hate-speech;online-harassment;explicit-content",True
cunnyborea.space,suspend,False,False,"antisemitism, hate-speech, inappropriate, racism, underage, iftas:hate-speech;online-harassment;explicit-content",True
cunnyborea.top,suspend,False,False,"hate-speech, inappropriate, racism, spam, underage, iftas:hate-speech;online-harassment;explicit-content",True
cutefunny.net,suspend,False,False,"hate-speech, inappropriate, racism, spam, underage",False
cutiepaws.org,suspend,False,False,"inappropriate, underage",False
cyberretards.xyz,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
d-fens.systems,suspend,False,False,,False
danksquad.org,suspend,False,False,,False
daspr.io,suspend,False,False,,False
decayable.ink,suspend,False,False,"alt-right, hate-associated, hate-speech, racism",False
declin.eu,suspend,False,False,,False
dembased.xyz,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,"anti-lgbtq, harassment, hate-speech, racism, iftas:hate-speech;brigading;online-harassment",True
dev-wiki.de,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dobbs.town,suspend,False,False,,False
drinkanddrive.africa,suspend,False,False,,False
drow.be,suspend,False,False,,False
ebin.club,suspend,False,False,,False
eientei.org,suspend,False,False,"hate-speech, racism, iftas:hate-speech",True
endtimebelievers.com,suspend,False,False,,False
enjoyer.network,suspend,False,False,,False
eskimo.com,suspend,False,False,,False
eveningzoo.club,suspend,False,False,"alt-right, antisemitism, conspiracy, fascism, hate-speech, racism, iftas:hate-speech;disinformation",True
fbxl.net,suspend,False,False,,False
federated.fun,suspend,False,False,"anti-lgbtq, hate-speech",False
fediverse-lite.com,suspend,False,False,,False
fedposters.club,suspend,False,False,,False
feministwiki.org,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fightthis.net,suspend,False,False,hate-associated,False
firedragonstudios.com,suspend,False,False,,False
fluf.club,suspend,False,False,"hate-associated, hate-speech",False
foxgirl.lol,suspend,False,False,,False
fr13nd5.com,suspend,False,False,,False
freak.university,suspend,False,False,"inappropriate, underage",False
freeatlantis.com,suspend,False,False,"conspiracy, hate-speech, misinformation, racism, iftas:hate-speech;online-harassment;disinformation",True
freecumextremist.com,suspend,False,False,iftas:hate-speech;online-harassment;explicit-content,True
freesoftwareextremist.com,suspend,False,False,"alt-right, hate-associated, hate-speech",False
freespeech.club,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,"hate-speech, iftas:hate-speech;online-harassment;disinformation",True
freetalklive.com,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
freezepeach.xyz,suspend,False,False,,False
frennet.xyz,suspend,False,False,"hate-associated, hate-speech",False
freysa.ai,suspend,False,False,"bots, spam",False
froth.zone,suspend,False,False,,False
fsebugoutzone.org,suspend,False,False,"hate-speech, racism",False
gab.ai,suspend,False,False,,False
gabe.rocks,suspend,False,False,,False
gameliberty.club,suspend,False,False,"bots, hate-speech, porn, racism, iftas:csam;explicit-content",True
gamers.exposed,suspend,False,False,,False
gearlandia.haus,suspend,False,False,"alt-right, anti-lgbtq, racism",False
gegenstimme.tv,suspend,False,False,iftas:hate-speech;disinformation,True
genderheretics.xyz,suspend,False,False,"anti-lgbtq, hate-speech",False
gensokyo.club,suspend,False,False,,False
gentoo.live,suspend,False,False,,False
geofront.rocks,suspend,False,False,"hate-speech, nazism, racism",False
gh0st.live,suspend,False,False,,False
ghetti.monster,suspend,False,False,"antisemitism, hate-speech, inappropriate, racism, underage",False
gleasonator.com,suspend,False,False,anti-lgbtq,False
glee.li,suspend,False,False,"harassment, hate-speech, racism, iftas:troll;online-harassment",True
glindr.org,suspend,False,False,,False
glowers.club,suspend,False,False,,False
gorf.pub,suspend,False,False,,False
goyim.social,suspend,False,False,,False
h5q.net,suspend,False,False,"inappropriate, porn, underage, iftas:csam",True
haeder.net,suspend,False,False,,False
hallsofamenti.io,suspend,False,False,,False
handholding.io,suspend,False,False,,False
harpy.faith,suspend,False,False,,False
helladoge.com,suspend,False,False,,False
hendrixgames.com,suspend,False,False,,False
hentai.baby,suspend,False,False,iftas:csam,True
hidamari.apartments,suspend,False,False,"alt-right, nazism",False
hitchhiker.social,suspend,False,False,,False
honkwerx.tech,suspend,False,False,,False
husk.site,suspend,False,False,"harassment, hate-speech, racism",False
icod.de,suspend,False,False,,False
iddqd.social,suspend,False,False,"dos, harassment, hate-associated, hate-speech, nazism",False
ignorelist.com,suspend,False,False,"dos, spam",False
imouto.exposed,suspend,False,False,iftas:csam,True
imouto.pics,suspend,False,False,iftas:csam,True
intkos.link,suspend,False,False,"alt-right, antisemitism, hate-speech",False
isekco.re,suspend,False,False,,False
justbros.xyz,suspend,False,False,,False
kawa-kun.com,suspend,False,False,hate-associated,False
kbin.cafe,suspend,False,False,iftas:csam,True
kenhbit.com,suspend,False,False,,False
kitsunemimi.club,suspend,False,False,"hate-speech, racism",False
kiwifarms.cc,suspend,False,False,"alt-right, anti-lgbtq, harassment, racism, iftas:hate-speech;online-harassment",True
kiwifarms.is,suspend,False,False,iftas:hate-speech;online-harassment,True
kiwifarms.net,suspend,False,False,,False
kompost.cz,suspend,False,False,"hate-associated, hate-speech, nazism, racism",False
krackhou.se,suspend,False,False,,False
kurosawa.moe,suspend,False,False,"harassment, hate-associated, hate-speech, racism, underage",False
kyaruc.moe,suspend,False,False,,False
kys.moe,suspend,False,False,,False
lain.gay,suspend,False,False,,False
lain.la,suspend,False,False,hate-associated,False
lain.sh,suspend,False,False,,False
leafposter.club,suspend,False,False,"hate-associated, hate-speech",False
letsalllovela.in,suspend,False,False,,False
lewdieheaven.com,suspend,False,False,"inappropriate, underage",False
liberdon.com,suspend,False,False,,False
librem.one,suspend,False,False,,False
librenet.co.za,suspend,False,False,,False
librosphere.fr,suspend,False,False,,False
ligma.pro,suspend,False,False,alt-right,False
logografos.com,suspend,False,False,,False
loli.church,suspend,False,False,"alt-right, antisemitism, hate-speech, inappropriate, racism, underage, iftas:csam",True
lolicon.rocks,suspend,False,False,"hate-speech, underage, iftas:csam",True
lolicon.win,suspend,False,False,,False
lolison.network,suspend,False,False,"inappropriate, underage, iftas:csam",True
lolison.top,suspend,False,False,"inappropriate, underage",False
longyap.name.my,suspend,False,False,,False
loveforlandlords.com,suspend,False,False,,False
lovingexpressions.net,suspend,False,False,"hate-associated, hate-speech, nazism, racism",False
magicka.org,suspend,False,False,,False
majestic12.airforce,suspend,False,False,,False
makemysarcophagus.com,suspend,False,False,,False
maladaptive.art,suspend,False,False,,False
mapsupport.de,suspend,False,False,"harassment, inappropriate, underage",False
marsey.club,suspend,False,False,,False
mast-serv.site,suspend,False,False,iftas:spam;coordinated-inauthentic-behaviour,True
mastertibbles.co.uk,suspend,False,False,,False
masthead.social,suspend,False,False,,False
