domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.ne.jp,suspend,False,False,,False
0w0.is,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
4aem.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
80percent.social,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.sc,suspend,False,False,,False
abdl.link,suspend,False,False,,False
absturztau.be,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
addy.gg,suspend,False,False,,False
aethy.com,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
aidoru.cafe,suspend,False,False,,False
akko.wtf,suspend,False,False,,False
alex0.net,suspend,False,False,,False
alive.bar,suspend,False,False,,False
alphasoft.org,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
amiantos.net,suspend,False,False,,False
anarchy.moe,suspend,False,False,,False
anarchyfox.space,suspend,False,False,,False
angelstrapped.com,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
anime.website,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
antani.pm,suspend,False,False,,False
anti-degeneracy.club,suspend,False,False,,False
appdot.net,suspend,False,False,,False
apple.com,suspend,False,False,,False
appspot.com,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
archivefedifor.fun,suspend,False,False,,False
argentum.social,suspend,False,False,,False
arousal.support,suspend,False,False,,False
arvr.social,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
ashhhleyyy.dev,suspend,False,False,,False
asimon.org,suspend,False,False,,False
aspiechattr.me,suspend,False,False,,False
astrid.tech,suspend,False,False,,False
awoo.fyi,suspend,False,False,,False
awscommunity.social,suspend,False,False,,False
azurewebsites.net,suspend,False,False,,False
b10m.net,suspend,False,False,,False
bacondarwin.uk,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
bajax.us,suspend,False,False,,False
bambus.social,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
based.directory,suspend,False,False,,False
basedship.xyz,suspend,False,False,,False
bdsmspace.club,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,,False
bgzashtita.es,suspend,False,False,,False
bigbluecitadel.com,suspend,False,False,,False
bigguys.club,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
bimmer.social,suspend,False,False,,False
bird.band,suspend,False,False,,False
birds.garden,suspend,False,False,,False
bitacadie.com,suspend,False,False,,False
bitcoinersagainst.boats,suspend,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
bitcoinlizard.net,suspend,False,False,,False
bitcoinplebs.net,suspend,False,False,,False
bitcointv.com,suspend,False,False,,False
bittube.video,suspend,False,False,,False
blimey.social,suspend,False,False,,False
blob.cat,suspend,False,False,,False
bocholt.social,suspend,False,False,,False
bolha.one,suspend,False,False,,False
bolha.us,suspend,False,False,,False
bozgor.org,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
brands.town,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
brotka.st,suspend,False,False,,False
btrf.ly,suspend,False,False,,False
btrfly.social,suspend,False,False,,False
bumpto.space,suspend,False,False,,False
bungle.online,suspend,False,False,,False
bussy.gallery,suspend,False,False,,False
bussy.monster,suspend,False,False,,False
buttplug.zone,suspend,False,False,,False
bylines.social,suspend,False,False,,False
c.im,suspend,False,False,,False
cachapa.moe,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
cafkafk.com,suspend,False,False,,False
calckey.art,suspend,False,False,,False
calckey.cloud,suspend,False,False,,False
calckey.social,suspend,False,False,,False
calobar.club,suspend,False,False,,False
carnivore.social,suspend,False,False,,False
cat6.network,suspend,False,False,,False
catboi.party,suspend,False,False,,False
catgirl.download,suspend,False,False,,False
catgirl.fr,suspend,False,False,,False
catgirl.is,suspend,False,False,,False
catgirl.life,suspend,False,False,,False
catgirl.place,suspend,False,False,,False
catgirl.solutions,suspend,False,False,,False
catgirl.space,suspend,False,False,,False
catgirl.works,suspend,False,False,,False
catgirl.zone,suspend,False,False,,False
catgirlsare.cool,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
cdrom.tokyo,suspend,False,False,,False
cesko.social,suspend,False,False,,False
cf,suspend,False,False,,False
chads.usethetools.org,suspend,False,False,,False
chaika.me,suspend,False,False,,False
chat.noelle.codes,suspend,False,False,,False
cheeseland.xyz,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
china.al,suspend,False,False,,False
chocoflan.net,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chudbuds.org,suspend,False,False,,False
ckpg.space,suspend,False,False,,False
clar.ke,suspend,False,False,,False
cloudapp.azure.com,suspend,False,False,,False
cloudflare.social,suspend,False,False,,False
cloudplane.app,suspend,False,False,,False
clown.center,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
clyez.city,suspend,False,False,,False
cobblestone.rocks,suspend,False,False,,False
cock.fish,suspend,False,False,,False
cockworshipper.com,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
comfy.social,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
completelysafe.download,suspend,False,False,,False
computerfairi.es,suspend,False,False,,False
computerhater.club,suspend,False,False,,False
comradesonly.duckdns.org,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
corginet.duckdns.org,suspend,False,False,,False
corteximplant.com,suspend,False,False,,False
counter.fedi.live,suspend,False,False,,False
counter.social,suspend,False,False,,False
criminallycute.fi,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryo.icu,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptotalks.social,suspend,False,False,,False
ctdl.co,suspend,False,False,,False
cubhub.social,suspend,False,False,,False
cucked.me,suspend,False,False,,False
cuddlegirls.cafe,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cunny.finance,suspend,False,False,,False
cutiehaven.club,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cybercrusade.xyz,suspend,False,False,,False
cyberfuck.club,suspend,False,False,,False
cybersecurity.masto.host,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
d-fens.systems,suspend,False,False,,False
daishouri.moe,suspend,False,False,,False
danksquad.org,suspend,False,False,,False
danksquad.xyz,suspend,False,False,,False
dansu.org,suspend,False,False,,False
darkkeep.net,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
daspr.io,suspend,False,False,,False
dcomm.net.ua,suspend,False,False,,False
deadreckoning.cc,suspend,False,False,,False
death.hunk.city,suspend,False,False,,False
decept.org,suspend,False,False,,False
def.social,suspend,False,False,,False
defcon.social,suspend,False,False,,False
definitely-not-archivefedifor.fun,suspend,False,False,,False
degenerates.fail,suspend,False,False,,False
dembased.xyz,suspend,False,False,,False
demkontinuum.de,suspend,False,False,,False
democracy.town,suspend,False,False,,False
desu.social,suspend,False,False,,False
desupost.soy,suspend,False,False,,False
desuposter.club,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dev-wiki.de,suspend,False,False,,False
diagonalley.club,suspend,False,False,,False
discorporea.com,suspend,False,False,,False
disqordia.space,suspend,False,False,,False
dissident.business,suspend,False,False,,False
dixies.land,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dobbs.town,suspend,False,False,,False
domjh.com,suspend,False,False,,False
domo.cafe,suspend,False,False,,False
donotsta.re,suspend,False,False,,False
drow.be,suspend,False,False,,False
dtzbts.xyz,suspend,False,False,,False
dumbopinions.xyz,suspend,False,False,,False
dummkopf.live,suspend,False,False,,False
durst.world,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
edm.haus,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eightpoint.app,suspend,False,False,,False
el-spot.xyz,suspend,False,False,,False
eldritch.cafe,suspend,False,False,,False
elekk.xyz,suspend,False,False,,False
elementality.org,suspend,False,False,,False
emacsen.net,suspend,False,False,,False
emaw.social,suspend,False,False,,False
enby.space,suspend,False,False,,False
endtimebelievers.com,suspend,False,False,,False
eng.chat,suspend,False,False,,False
ente.fun,suspend,False,False,,False
entire.vc,suspend,False,False,,False
epenguin.com,suspend,False,False,,False
equel.social,suspend,False,False,,False
equestria.social,suspend,False,False,,False
erisa.party,suspend,False,False,,False
etiketi.de,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
explosion.party,suspend,False,False,,False
faggot.global,suspend,False,False,,False
fairuse.org,suspend,False,False,,False
fans.sonichu.com,suspend,False,False,,False
fbxl.net,suspend,False,False,,False
fed.bushiroad.space,suspend,False,False,,False
fed.umycode.com,suspend,False,False,,False
federated.fun,suspend,False,False,,False
fedi.buzz,suspend,False,False,,False
fedi.cc,suspend,False,False,,False
fedilist.com,suspend,False,False,,False
fediverse.one,suspend,False,False,,False
fediverse.to,suspend,False,False,,False
fediversealmanac.com,suspend,False,False,,False
fedsearch.io,suspend,False,False,,False
feedseer.com,suspend,False,False,,False
feeling.lewd.today,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fightthis.net,suspend,False,False,,False
firedragonstudios.com,suspend,False,False,,False
firefaithfellowship.com,suspend,False,False,,False
fiume.club,suspend,False,False,,False
flauschig.social,suspend,False,False,,False
flockingbird.social,suspend,False,False,,False
floppy.tokyo,suspend,False,False,,False
fluf.club,suspend,False,False,,False
fly.dev,suspend,False,False,,False
fosstodon.org,suspend,False,False,,False
foxfam.club,suspend,False,False,,False
fr13nd5.com,suspend,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freecumextremist.com,suspend,False,False,,False
freedomofpress.rocks,suspend,False,False,,False
freedomstrike.net,suspend,False,False,,False
freedomstrike.org,suspend,False,False,,False
freemarketbastard.theburning.world,suspend,False,False,,False
freemyip.com,suspend,False,False,,False
freepub.killrobot.com,suspend,False,False,,False
freequeefextremist.com,suspend,False,False,,False
freeradical.zone,suspend,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.firedragonstudios.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freetalklive.com,suspend,False,False,,False
freethinkers.host,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
freewahaextremist.soy,suspend,False,False,,False
freewahaextremist.wtf,suspend,False,False,,False
freezepeach.online,suspend,False,False,,False
freezepeach.xyz,suspend,False,False,,False
frennet.link,suspend,False,False,,False
frentalk.com,suspend,False,False,,False
fribygda.no,suspend,False,False,,False
friendica.ironbug.org,suspend,False,False,,False
friendica.keithhacks.cyou,suspend,False,False,,False
friendica.ladies.community,suspend,False,False,,False
froth.zone,suspend,False,False,,False
fuckedtodeath.net,suspend,False,False,,False
fuckgov.org,suspend,False,False,,False
furfag.de,suspend,False,False,,False
furry.lgbt,suspend,False,False,,False
fwedivewse.vfpmedia.com,suspend,False,False,,False
gab.ai,suspend,False,False,,False
galacticpatrol.masto.host,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gamers.exposed,suspend,False,False,,False
gangstalking.services,suspend,False,False,,False
gasthe.lgbt,suspend,False,False,,False
gay.nsfw.onl,suspend,False,False,,False
gearlandia.haus,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
genitalia.observer,suspend,False,False,,False
gentoo.live,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
ggc-project.de,suspend,False,False,,False
ghetti.monster,suspend,False,False,,False
gitmo.life,suspend,False,False,,False
gitpod.io,suspend,False,False,,False
glaceon.social,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
glindr.org,suspend,False,False,,False
glitch.me,suspend,False,False,,False
glitchbird.com,suspend,False,False,,False
globalfrens.com,suspend,False,False,,False
globalwarming.fun,suspend,False,False,,False
glowers.club,suspend,False,False,,False
godspeed.moe,suspend,False,False,,False
gogel.social,suspend,False,False,,False
gorf.pub,suspend,False,False,,False
gorf.space,suspend,False,False,,False
goto.vsta.org,suspend,False,False,,False
goyim.app,suspend,False,False,,False
goyslop.cafe,suspend,False,False,,False
graz.social,suspend,False,False,,False
gts.cryptoschizo.club,suspend,False,False,,False
gts.melalandia.tk,suspend,False,False,,False
guizzyordi.info,suspend,False,False,,False
gulp.cafe,suspend,False,False,,False
hachyderm.io,suspend,False,False,,False
haeder.net,suspend,False,False,,False
hafkehafke.org,suspend,False,False,,False
hallsofamenti.io,suspend,False,False,,False
handholding.io,suspend,False,False,,False
handicapped.tk,suspend,False,False,,False
hash.social,suspend,False,False,,False
hatesnigge.rs,suspend,False,False,,False
headcannon.xyz,suspend,False,False,,False
helladoge.com,suspend,False,False,,False
hellspenguins.org,suspend,False,False,,False
hendrixgames.com,suspend,False,False,,False
hentai.baby,suspend,False,False,,False
hermit.cafe,suspend,False,False,,False
hermitmountain.top,suspend,False,False,,False
herokuapp.com,suspend,False,False,,False
hexagon.space,suspend,False,False,,False
hidamari.apartments,suspend,False,False,,False
himk.am,suspend,False,False,,False
hitchhiker.social,suspend,False,False,,False
hodlr.one,suspend,False,False,,False
hodltech.com,suspend,False,False,,False
hogh.tk,suspend,False,False,,False
homd.xyz,suspend,False,False,,False
home.social,suspend,False,False,,False
honkwerx.tech,suspend,False,False,,False
hornyjail.pro,suspend,False,False,,False
horserock.xyz,suspend,False,False,,False
hostux.social,suspend,False,False,,False
hostyourown.tools,suspend,False,False,,False
hunk.city,suspend,False,False,,False
husk.site,suspend,False,False,,False
hwfo.online,suspend,False,False,,False
i*at*b**ng**l*ve,suspend,False,False,,False
i*mt*r**na**y*on*in*,suspend,False,False,,False
iddqd.social,suspend,False,False,,False
idolheaven.club,suspend,False,False,,False
ieji.de,suspend,False,False,,False
ignorelist.com,suspend,False,False,,False
illegitimate.technology,suspend,False,False,,False
ilyamikcoder.com,suspend,False,False,,False
imirhil.fr,suspend,False,False,,False
inferencium.net,suspend,False,False,,False
infosec.exchange,suspend,False,False,,False
intkos.link,suspend,False,False,,False
inumbra.xyz,suspend,False,False,,False
isadati.work,suspend,False,False,,False
iscute.moe,suspend,False,False,,False
itmslaves.com,suspend,False,False,,False
jacksgloryhole.com,suspend,False,False,,False
jgc.org,suspend,False,False,,False
jojo.singleuser.club,suspend,False,False,,False
jorts.horse,suspend,False,False,,False
jorts.online,suspend,False,False,,False
journa.host,suspend,False,False,,False
jtown.xyz,suspend,False,False,,False
justbros.xyz,suspend,False,False,,False
justicewarrior.social,suspend,False,False,,False
k.posix.gay,suspend,False,False,,False
kabuki.club,suspend,False,False,,False
kansas-city.social,suspend,False,False,,False
kawa-kun.com,suspend,False,False,,False
kawen.site,suspend,False,False,,False
kawen.space,suspend,False,False,,False
kazar.ma,suspend,False,False,,False
kenhbit.com,suspend,False,False,,False
khajiit.tech,suspend,False,False,,False
khajit.tech,suspend,False,False,,False
kibitz.cloud,suspend,False,False,,False
kinky.baguette.cafe,suspend,False,False,,False
kisslolis.moe,suspend,False,False,,False
