domain,severity,reject_media,reject_reports,public_comment,obfuscate
*.10minutepleroma.com,suspend,False,False,,False
.cf,suspend,False,False,,False
076.moe,suspend,False,False,,False
0sint.social,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1being.org,suspend,False,False,,False
2.distsn.org,suspend,False,False,,False
2hu.club,suspend,False,False,,False
2ndamendment.social,suspend,False,False,,False
3zi.ru,suspend,False,False,,False
420blaze.it,suspend,False,False,,False
434.earth,suspend,False,False,,False
4chan.icu,suspend,False,False,,False
4qq.org,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
62x54r.ru,suspend,False,False,,False
7td.org,suspend,False,False,,False
80percent.social,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.nti.social,suspend,False,False,,False
aaathats3as.com,suspend,False,False,,False
absturztau.be,suspend,False,False,,False
accela.online,suspend,False,False,,False
activism.openworlds.info,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
activitypub.actor,suspend,False,False,,False
adachi.party,suspend,False,False,,False
addy.gg,suspend,False,False,,False
adtension.com,suspend,False,False,,False
aether.us,suspend,False,False,,False
aethy.com,suspend,False,False,,False
afd.best,suspend,False,False,,False
afterlife.masto.host,suspend,False,False,,False
agates.io,suspend,False,False,,False
ai8w.ddns.net,suspend,False,False,,False
airmail.cc,suspend,False,False,,False
ak.yass.ee,suspend,False,False,,False
albin.social,suspend,False,False,,False
alpaca.gold,suspend,False,False,,False
amiantos.net,suspend,False,False,,False
anarres.family,suspend,False,False,,False
ancreport.com,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
animalliberation.social,suspend,False,False,,False
anime.website,suspend,False,False,,False
animeisgay.com,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
anirloli.dev,suspend,False,False,,False
anitbook.site,suspend,False,False,,False
anitwitter.com,suspend,False,False,,False
anitwitter.moe,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
anti-degeneracy.club,suspend,False,False,,False
antivaxxer.icu,suspend,False,False,,False
ap.maladaptive.art,suspend,False,False,,False
ap.tiuxo.com,suspend,False,False,,False
ap.uwu.st,silence,False,False,,False
applied-langua.ge,suspend,False,False,,False
ar.aire.ml,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
archivefedifor.fun,suspend,False,False,,False
argentum.social,suspend,False,False,,False
aria.company,suspend,False,False,,False
ariona.fr,suspend,False,False,,False
aroace.space,suspend,False,False,,False
artalley.social,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
asimon.org,suspend,False,False,,False
aspiechattr.me,suspend,False,False,,False
aspirant.de,suspend,False,False,,False
asteroidm.space,suspend,False,False,,False
atrilahiji.dev,suspend,False,False,,False
autizmo.xyz,suspend,False,False,,False
awscommunity.social,suspend,False,False,,False
awwter.online,suspend,False,False,,False
azumanga.gay,suspend,False,False,,False
b10m.net,suspend,False,False,,False
babay.icu,suspend,False,False,,False
babka.social,silence,False,False,,False
babymetal.party,suspend,False,False,,False
badat.dev,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banana.dog,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
based.directory,suspend,False,False,,False
battlepenguin.video,suspend,False,False,,False
bbs.keinpfusch.net,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beehub.org,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
beetoons.tv,suspend,False,False,,False
berserker.town,suspend,False,False,,False
berzs.xyz,suspend,False,False,,False
bestgore.fun,suspend,False,False,,False
bigchungus69.club,suspend,False,False,,False
bigguys.club,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
birb.space,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
birds.garden,suspend,False,False,,False
birdsite.am-institute.swiss,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.live,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
biribiri.dev,suspend,False,False,,False
bitcoin-info.nl,suspend,False,False,,False
bitcoinadon.social,suspend,False,False,,False
bitcoinersagainst.boats,suspend,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
bitcoinlizard.net,suspend,False,False,,False
bitcoinplebs.net,suspend,False,False,,False
bitcointv.com,suspend,False,False,,False
bittube.video,suspend,False,False,,False
blackoutstout.space,suspend,False,False,,False
blacksun.social,suspend,False,False,,False
blazelights.dev,suspend,False,False,,False
blob.cat,suspend,False,False,,False
blobturtle.club,suspend,False,False,,False
blockriot.com,suspend,False,False,,False
blogold.xyz,suspend,False,False,,False
blovice.bahnhof.cz,suspend,False,False,,False
blurts.net,suspend,False,False,,False
bodybuilding.im,suspend,False,False,,False
bofa.lol,suspend,False,False,,False
boobytooth.social,suspend,False,False,,False
boop.link,suspend,False,False,,False
boseburo.ddns.net,suspend,False,False,,False
boyter.org,suspend,False,False,,False
bozgor.org,suspend,False,False,,False
brasileiros.social,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
bronyfurry.com,suspend,False,False,,False
bsd.moe,suspend,False,False,,False
bubbletea.dev,suspend,False,False,,False
buckeye.social,suspend,False,False,,False
bugs.social,suspend,False,False,,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,False,False,,False
bund.de,suspend,False,False,,False
bungle.online,suspend,False,False,,False
busshi.moe,suspend,False,False,,False
bv.umbrellix.org,suspend,False,False,,False
bwzone.xyz,suspend,False,False,,False
bylines.social,suspend,False,False,,False
c.im,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
cafkafk.com,suspend,False,False,,False
calculate.social,suspend,False,False,,False
calobar.club,suspend,False,False,,False
campduffel.social,suspend,False,False,,False
canberrasocial.net,suspend,False,False,,False
cantos.social,suspend,False,False,,False
capitalism.party,suspend,False,False,,False
carnivore.social,suspend,False,False,,False
carrot.army,suspend,False,False,,False
catbot.co,suspend,False,False,,False
catgirl.land,silence,False,False,,False
catgirl.life,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
cdrom.tokyo,suspend,False,False,,False
censorship.icu,suspend,False,False,,False
charlestown.social,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
chocoflan.net,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chungus.cc,suspend,False,False,,False
civiq.social,suspend,False,False,,False
clew.lol,suspend,False,False,,False
climatejustice.social,silence,False,False,,False
cliterati.club,suspend,False,False,,False
club.darknight-coffee.org,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
clube.social,suspend,False,False,,False
cmpwn.com,suspend,False,False,,False
cobblestone.rocks,suspend,False,False,,False
cocaine.ninja,suspend,False,False,,False
cock.email,suspend,False,False,,False
cock.fish,suspend,False,False,,False
cock.li,suspend,False,False,,False
cock.lu,suspend,False,False,,False
cofe.rocks,suspend,False,False,,False
cofeti.me,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
com.ai,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
comfysnug.space,suspend,False,False,,False
comm.cx,suspend,False,False,,False
comm.network,suspend,False,False,,False
community.halle-leaks.de,suspend,False,False,,False
community.highlandarrow.com,suspend,False,False,,False
computerhater.club,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
controverse.tube,suspend,False,False,,False
convo.casa,suspend,False,False,,False
coolsite.win,suspend,False,False,,False
coom.club,suspend,False,False,,False
counter.fedi.live,suspend,False,False,,False
counter.social,suspend,False,False,,False
cpluspatch.com,suspend,False,False,,False
creativeart.shop,suspend,False,False,,False
creativeart.work,suspend,False,False,,False
crlf.ninja,suspend,False,False,,False
cro.social,suspend,False,False,,False
crucible.world,suspend,False,False,,False
crunchywatch.uk,suspend,False,False,,False
cryo.icu,suspend,False,False,,False
crypt.lol,suspend,False,False,,False
cryptids.online,suspend,False,False,,False
cryptocartel.social,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptotalks.social,suspend,False,False,,False
cryptotooter.com,suspend,False,False,,False
csdisaster.club,suspend,False,False,,False
ctseuro.com,suspend,False,False,,False
cubhub.social,silence,False,False,,False
cultofshiv.wtf,silence,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cumallover.me,suspend,False,False,,False
cunny.finance,suspend,False,False,,False
cuteposting.institute,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cybercrusade.xyz,suspend,False,False,,False
cyberfuck.club,suspend,False,False,,False
cyberretards.xyz,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
cybre.club,suspend,False,False,,False
cyzed.com,suspend,False,False,,False
d2l.masto.host,suspend,False,False,,False
daffodil-11.org,suspend,False,False,,False
daishouri.moe,suspend,False,False,,False
danksquad.xyz,suspend,False,False,,False
dark-alexandr.net,suspend,False,False,,False
darknight-coffee.org,suspend,False,False,,False
darlow.co.uk,suspend,False,False,,False
dbuild.xyz,suspend,False,False,,False
dcomm.net.ua,suspend,False,False,,False
dd0s.lol,suspend,False,False,,False
deadsuperhero.com,suspend,False,False,,False
debilosempire.org,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
dece.space,suspend,False,False,,False
declin.eu,suspend,False,False,,False
deepnexus.link,suspend,False,False,,False
deepweb.eu,suspend,False,False,,False
definitely-not-archivefedifor.fun,suspend,False,False,,False
degenerates.fail,suspend,False,False,,False
degooglization.icu,suspend,False,False,,False
dekameta.com,suspend,False,False,,False
dekeyser.au,suspend,False,False,,False
desu.social,suspend,False,False,,False
desupost.soy,suspend,False,False,,False
desuposter.club,suspend,False,False,,False
det.social,silence,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dev.civiq.social,suspend,False,False,,False
develop.gab.com,suspend,False,False,,False
devin.masto.host,suspend,False,False,,False
devouredbyverm.in,suspend,False,False,,False
diaspodon.fr,suspend,False,False,,False
diaspsocial.com,suspend,False,False,,False
dickkickextremist.xyz,suspend,False,False,,False
digitalmarketer.social,suspend,False,False,,False
dingdash.com,suspend,False,False,,False
dirtyhobby.xyz,suspend,False,False,,False
disarray.nof.st,suspend,False,False,,False
disqordia.space,suspend,False,False,,False
disroot.org,suspend,False,False,,False
distrotoot.com,suspend,False,False,,False
djitter.com,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dline.xyz,suspend,False,False,,False
dobbs.town,suspend,False,False,,False
doesnotexist.club,suspend,False,False,,False
doesnt.undo.it,suspend,False,False,,False
dogeposting.social,suspend,False,False,,False
don.bitma.st,suspend,False,False,,False
donotban.com,suspend,False,False,,False
donteatanimals.org,suspend,False,False,,False
dotnet00.dev,suspend,False,False,,False
dragon.style,suspend,False,False,,False
dragonpsi.xyz,suspend,False,False,,False
dresden.network,suspend,False,False,,False
drinkingatmy.computer,suspend,False,False,,False
drow.be,suspend,False,False,,False
drunkposter.club,suspend,False,False,,False
duckfriend.com,suspend,False,False,,False
durst.world,suspend,False,False,,False
dym.sh,suspend,False,False,,False
dystopian.space,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
ebin.club,suspend,False,False,,False
ediot.social,suspend,False,False,,False
eeeeeeeee.eu,suspend,False,False,,False
egi***.*ay,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eightpoint.app,suspend,False,False,,False
elekk.xyz,suspend,False,False,,False
elementality.org,suspend,False,False,,False
elfenban.de,suspend,False,False,,False
elves.forsale,suspend,False,False,,False
emacs.ch,silence,False,False,,False
emacsen.net,suspend,False,False,,False
endtimebelievers.com,suspend,False,False,,False
enes.lv,suspend,False,False,,False
enigmatic.observer,suspend,False,False,,False
enjoyer.network,suspend,False,False,,False
enovale.com,suspend,False,False,,False
entire.vc,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
equel.social,suspend,False,False,,False
eskimo.com,suspend,False,False,,False
esmailelbob.xyz,suspend,False,False,,False
est.social,silence,False,False,,False
etiketi.de,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
evilcyberhacker.net,suspend,False,False,,False
exited.eu,suspend,False,False,,False
explosion.party,suspend,False,False,,False
f.haeder.net,suspend,False,False,,False
faggot.zone,suspend,False,False,,False
fai.st,suspend,False,False,,False
fapsi.be,suspend,False,False,,False
fbxl.net,suspend,False,False,,False
fed.celp.de,suspend,False,False,,False
federate.hopto.org,suspend,False,False,,False
federate.social,suspend,False,False,,False
federated.fun,suspend,False,False,,False
federated.media,suspend,False,False,,False
fedi.absturztau.be,suspend,False,False,,False
fedi.app,suspend,False,False,,False
fedi.gealdor.space,suspend,False,False,,False
fedi.live,suspend,False,False,,False
fedi.plus.st,suspend,False,False,,False
fedi.tyil.nl,suspend,False,False,,False
fedi.valkyrie.world,suspend,False,False,,False
fedi.vern.cc,suspend,False,False,,False
fedi.z0ne.moe,suspend,False,False,,False
fedicy.allowed.org,suspend,False,False,,False
fediverse.me,suspend,False,False,,False
fediverse.pl,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
ffvo.dev,suspend,False,False,,False
ffxiv-mastodon.com,suspend,False,False,,False
fightthis.net,suspend,False,False,,False
firefaithfellowship.com,suspend,False,False,,False
firefish.social,suspend,False,False,,False
firemail.cc,suspend,False,False,,False
fishingblog.org,suspend,False,False,,False
fiume.club,suspend,False,False,,False
flauschig.social,suspend,False,False,,False
floppy.tokyo,suspend,False,False,,False
fluf.club,suspend,False,False,,False
fluffytail.org,suspend,False,False,,False
forum.decisiveliberty.news,suspend,False,False,,False
fosstodon.org,suspend,False,False,,False
fr13nd5.com,suspend,False,False,,False
francecatholique.net,suspend,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freecumextremist.com,suspend,False,False,,False
freedomofpress.rocks,suspend,False,False,,False
freemyip.com,suspend,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.firedragonstudios.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeech.host,suspend,False,False,,False
freespeech.icu,suspend,False,False,,False
freespeech.institute,suspend,False,False,,False
freespeechextreme.com,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
freevoice.space,suspend,False,False,,False
freewahaextremist.wtf,suspend,False,False,,False
freezepeach.xyz,suspend,False,False,,False
frennet.link,suspend,False,False,,False
frennet.xyz,suspend,False,False,,False
freyachat.eu,suspend,False,False,,False
fribygda.no,suspend,False,False,,False
friends.deko.cloud,suspend,False,False,,False
friends.nico,suspend,False,False,,False
frog.fashion,suspend,False,False,,False
froth.zone,suspend,False,False,,False
fsmi.social,suspend,False,False,,False
fuck-man-i-just-want-like-one-friend.xyz,suspend,False,False,,False
fuckonthefirst.date,suspend,False,False,,False
fulltermprivacy.com,suspend,False,False,,False
functor.pro,suspend,False,False,,False
furcel.club,suspend,False,False,,False
furfag.de,suspend,False,False,,False
furry.engineer,silence,False,False,,False
furry.lgbt,suspend,False,False,,False
futomomo.life,suspend,False,False,,False
fuwa.pink,suspend,False,False,,False
fybuk.com,suspend,False,False,,False
g3l.org,suspend,False,False,,False
gab.ai,suspend,False,False,,False
gab.best,suspend,False,False,,False
gab.com,suspend,False,False,,False
gab.io,suspend,False,False,,False
gab.polaris-1.work,suspend,False,False,,False
gab.protohype.net,suspend,False,False,,False
gab.sleeck.eu,suspend,False,False,,False
gabble.xyz,suspend,False,False,,False
gabeappleton.me,suspend,False,False,,False
gabfed.com,suspend,False,False,,False
gabhub.protohype.net,suspend,False,False,,False
gamedev.place,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gamers.exposed,suspend,False,False,,False
gangstalking.services,suspend,False,False,,False
gasthe.lgbt,suspend,False,False,,False
gay.nsfw.onl,silence,False,False,,False
gearlandia.haus,suspend,False,False,,False
gecekafasi.com,suspend,False,False,,False
gegenstimme.tv,suspend,False,False,,False
gendercritical.club,suspend,False,False,,False
gendercritical.space,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
genitalia.observer,suspend,False,False,,False
gensokyo.club,suspend,False,False,,False
gentoo.live,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
getbackinthe.kitchen,suspend,False,False,,False
getcoin.nu,suspend,False,False,,False
getgle.org,suspend,False,False,,False
getindor.com,suspend,False,False,,False
girevik.su,suspend,False,False,,False
girlslove.pink,suspend,False,False,,False
gitmo.life,suspend,False,False,,False
gladtech.social,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
gleasonator.dev,suspend,False,False,,False
glee.li,suspend,False,False,,False
glindr.org,suspend,False,False,,False
glowers.club,suspend,False,False,,False
gnosis.systems,suspend,False,False,,False
gnusocial.ch,suspend,False,False,,False
gnusocial.club,suspend,False,False,,False
gnusocial.no,suspend,False,False,,False
goat.si,suspend,False,False,,False
godspeed.moe,suspend,False,False,,False
goldandblack.xyz,suspend,False,False,,False
goneaway.social,suspend,False,False,,False
gorf.club,suspend,False,False,,False
gorf.pub,suspend,False,False,,False
gorf.space,suspend,False,False,,False
goyim.app,suspend,False,False,,False
graeber.social,suspend,False,False,,False
grants.cafe,suspend,False,False,,False
graz.social,suspend,False,False,,False
greenish.red,suspend,False,False,,False
greenlifeplus.net,suspend,False,False,,False
gretaoto.ca,suspend,False,False,,False
grim.social,suspend,False,False,,False
groyp.xyz,suspend,False,False,,False
grumpys.online,suspend,False,False,,False
gs.archae.me,suspend,False,False,,False
gs.kawa-kun.com,suspend,False,False,,False
gs.m0n5t3r.info,suspend,False,False,,False
gs.mon5t3r.info,suspend,False,False,,False
gs.smuglo.li,suspend,False,False,,False
gulp.cafe,suspend,False,False,,False
gymnastodon.com,suspend,False,False,,False
h5q.net,suspend,False,False,,False
