domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.moe,suspend,False,False,,False
076.ne.jp,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
80percent.social,suspend,False,False,,False
829.hu,suspend,False,False,,False
9tail.net,suspend,False,False,,False
a.sc,suspend,False,False,,False
abdl.link,silence,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
activitypub.actor,suspend,False,False,,False
aethy.com,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
airis.work,suspend,False,False,,False
akm.longyap.name.my,suspend,False,False,,False
amala.schwartzwelt.xyz,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
anime.website,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
anitwitter.moe,silence,False,False,,False
anon-kenkai.com,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
asimon.org,suspend,False,False,,False
asphodel.rip,suspend,False,False,,False
astra.lol,suspend,False,False,,False
bae.st,suspend,False,False,,False
baguette-it.social,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
beachcom.org,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
beta.birdsite.live,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bigguys.club,suspend,False,False,,False
birb.elfenban.de,suspend,False,False,,False
birb.stream,suspend,False,False,,False
bird.evilcyberhacker.net,suspend,False,False,,False
bird.istheguy.com,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
bird.r669.live,suspend,False,False,,False
birdbots.leptonics.com,suspend,False,False,,False
birdbridge.autonomy.earth,suspend,False,False,,False
birdsite.am-institute.swiss,suspend,False,False,,False
birdsite.axeleroy.com,suspend,False,False,,False
birdsite.b93.dece.space,suspend,False,False,,False
birdsite.blazelight.dev,suspend,False,False,,False
birdsite.cloutier.co,suspend,False,False,,False
birdsite.darkesttimeline.social,suspend,False,False,,False
birdsite.frog.fashion,suspend,False,False,,False
birdsite.gabeappleton.me,suspend,False,False,,False
birdsite.gred.al,suspend,False,False,,False
birdsite.hwarf.com,suspend,False,False,,False
birdsite.james.moody.name,suspend,False,False,,False
birdsite.jemverse.xyz,suspend,False,False,,False
birdsite.kaijauch.de,suspend,False,False,,False
birdsite.kohl.dev,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.lipsia.casa,suspend,False,False,,False
birdsite.mastodon.me.uk,suspend,False,False,,False
birdsite.miisu.net,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.nytpu.com,suspend,False,False,,False
birdsite.oliviaappleton.com,suspend,False,False,,False
birdsite.outadoc.fr,suspend,False,False,,False
birdsite.seejy.ninja,suspend,False,False,,False
birdsite.skye.cx,suspend,False,False,,False
birdsite.slashdev.space,suspend,False,False,,False
birdsite.spectreos.de,suspend,False,False,,False
birdsite.tcjc.uk,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
birdsite.vrparty.social,suspend,False,False,,False
birdsite.weiranzhang.com,suspend,False,False,,False
birdsite.wilde.cloud,suspend,False,False,,False
birdsitelive.falschgold.net,suspend,False,False,,False
birdsitelive.kevinyank.com,suspend,False,False,,False
birdsitelive.laski.app,suspend,False,False,,False
birdsitelive.loca.lt,suspend,False,False,,False
birdsitelive.mastodon.vm.statshelix.com,suspend,False,False,,False
birdsitelive.moistgarbage.info,suspend,False,False,,False
birdsitelive.treffler.cloud,suspend,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
blazingopen.space,suspend,False,False,,False
blob.cat,suspend,False,False,,False
blue.worldkey.io,suspend,False,False,,False
boks.moe,suspend,False,False,,False
botsin.space,silence,False,False,,False
bozgor.org,suspend,False,False,,False
brapbarn.farm,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
bridge.birb.space,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
brotka.st,suspend,False,False,,False
bruh.homd.xyz,suspend,False,False,,False
bsd.moe,silence,False,False,,False
bubbletea.dev,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
cafkafk.com,suspend,False,False,,False
calobar.club,suspend,False,False,,False
campduffel.social,suspend,False,False,,False
catgirl.life,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
cf,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chungus.cc,suspend,False,False,,False
ckpg.space,suspend,False,False,,False
clq.im,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
cobblestone.rocks,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
comfysnug.space,suspend,False,False,,False
crid.land,suspend,False,False,,False
crlf.ninja,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryptotooter.com,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.desupost.soy,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
dark-alexandr.net,suspend,False,False,,False
daspr.io,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
digitalmarketer.social,suspend,False,False,,False
dissident.business,suspend,False,False,,False
dixies.land,suspend,False,False,,False
djsumdog.com,suspend,False,False,,False
dmgd.monster,suspend,False,False,,False
dogsex.org,suspend,False,False,,False
dotsod.com,suspend,False,False,,False
dragonpsi.xyz,suspend,False,False,,False
duckdns.org,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
eeeeeeeee.eu,suspend,False,False,,False
eientei.org,suspend,False,False,,False
elementality.org,suspend,False,False,,False
enes.lv,suspend,False,False,,False
eroaward.com,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
exited.eu,suspend,False,False,,False
fans.sonichu.com,suspend,False,False,,False
fbxl.net,suspend,False,False,,False
fedi.app,suspend,False,False,,False
fedi.lucasvl.nl,suspend,False,False,,False
fedi.syspxl.xyz,suspend,False,False,,False
fedibird.com,suspend,False,False,,False
fedigram.net,suspend,False,False,,False
fedihams.net,suspend,False,False,,False
fediverse-lite.com,suspend,False,False,,False
firebird.mullet.social,suspend,False,False,,False
fluf.club,suspend,False,False,,False
forum.decisiveliberty.news,suspend,False,False,,False
fr13nd5.com,suspend,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freecumextremist.com,suspend,False,False,,False
freedomstrike.net,suspend,False,False,,False
freedomstrike.org,suspend,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.club,suspend,False,False,,False
freespeech.firedragonstudios.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freetalklive.com,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
freezepeach.online,suspend,False,False,,False
freezepeach.xyz,silence,False,False,,False
frennet.xyz,suspend,False,False,,False
frens.mahodou.moe,suspend,False,False,,False
froth.zone,suspend,False,False,,False
fuwa.pink,suspend,False,False,,False
gab.ai,suspend,False,False,,False
gab.com,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gamers.exposed,suspend,False,False,,False
gangstalking.services,suspend,False,False,,False
gay.lesaoras.xyz,suspend,False,False,,False
gearlandia.haus,suspend,False,False,,False
geeknews.chat,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
getgle.org,suspend,False,False,,False
ghetti.monster,suspend,False,False,,False
gigaohm.bio,suspend,False,False,,False
girevik.su,suspend,False,False,,False
gitmo.life,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
glee.li,suspend,False,False,,False
glindr.org,suspend,False,False,,False
glitch.gray.cafe,suspend,False,False,,False
glownow.club,suspend,False,False,,False
gnu.moe,suspend,False,False,,False
gorf.network,suspend,False,False,,False
gorf.pub,suspend,False,False,,False
gorf.space,suspend,False,False,,False
gorone.xyz,suspend,False,False,,False
gothloli.club,suspend,False,False,,False
goyslop.cafe,suspend,False,False,,False
grants.cafe,suspend,False,False,,False
gravure.club,suspend,False,False,,False
gretaoto.ca,suspend,False,False,,False
guizzyordi.info,suspend,False,False,,False
h5q.net,suspend,False,False,,False
hallsofamenti.io,suspend,False,False,,False
handholding.io,suspend,False,False,,False
heislandmine.work,silence,False,False,,False
hendrixgames.com,suspend,False,False,,False
hermit.cafe,suspend,False,False,,False
hermitmountain.top,suspend,False,False,,False
hidamari.apartments,suspend,False,False,,False
hit.moe,suspend,False,False,,False
