domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.moe,suspend,False,False,,False
076.ne.jp,suspend,False,False,,False
0chan.ru,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10minutepleroma.com,suspend,False,False,,False
129.159.139.0,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
1745.info,suspend,False,False,,False
1984.cz,suspend,False,False,,False
1being.org,suspend,False,False,,False
23.95.115.204,suspend,False,False,,False
448c.net,suspend,False,False,,False
4aem.com,suspend,False,False,,False
4chan.icu,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
7td.org,suspend,False,False,,False
80percent.social,suspend,False,False,,False
829.hu,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.sc,suspend,False,False,,False
abraham.su,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
acu.lt,suspend,False,False,,False
addy.gg,suspend,False,False,,False
adhd.stream,suspend,False,False,,False
aethy.com,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
agates.io,suspend,False,False,,False
agdersam.no,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
alfter.us,suspend,False,False,,False
alive.bar,suspend,False,False,,False
alphasoft.org,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
ams3-03.smarterliving.nl,suspend,False,False,,False
anancus.fr,suspend,False,False,,False
ancreport.com,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angry.im,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
animalliberation.social,suspend,False,False,,False
anime.website,suspend,False,False,,False
animesexual.community,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
anthro.cc,suspend,False,False,,False
anti-degeneracy.club,suspend,False,False,,False
anticom.world,suspend,False,False,,False
antivaxxer.icu,suspend,False,False,,False
aoq.me,suspend,False,False,,False
apathy.tv,suspend,False,False,,False
app.github.dev,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
arasaka.vip,suspend,False,False,,False
aria.company,suspend,False,False,,False
arumoon.ru,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
asdgsadga.social,suspend,False,False,,False
asimon.org,suspend,False,False,,False
asphodel.rip,suspend,False,False,,False
assortedflotsam.com,suspend,False,False,,False
autism.zone,suspend,False,False,,False
awoo.fyi,suspend,False,False,,False
awwter.online,suspend,False,False,,False
b.booots.tech,suspend,False,False,,False
b10m.net,suspend,False,False,,False
babay.icu,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
bahnhof.cz,suspend,False,False,,False
bajax.us,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
based.directory,suspend,False,False,,False
battlepenguin.video,suspend,False,False,,False
bbad.com,suspend,False,False,,False
bearbirdsite.sicem.social,suspend,False,False,,False
bearygoosey.com,suspend,False,False,,False
beckmeyer.us,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
beepboop.ga,suspend,False,False,,False
berserker.town,suspend,False,False,,False
best-friends.chat,suspend,False,False,,False
bestgore.fun,suspend,False,False,,False
beta.mstdn.cf,suspend,False,False,,False
bgzashtita.es,suspend,False,False,,False
bibly.com,suspend,False,False,,False
bida.im,suspend,False,False,,False
bien-etre.social,suspend,False,False,,False
biendeo.com,suspend,False,False,,False
bigrelay.social,suspend,False,False,,False
bigzu.cc,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
birb.byte.wtf,suspend,False,False,,False
birb.redra1n.net,suspend,False,False,,False
birb.stream,suspend,False,False,,False
birbber.hotfemboy.pics,suspend,False,False,,False
bird.chauvet.pro,suspend,False,False,,False
bird.docmeth02.host,suspend,False,False,,False
bird.evilcyberhacker.net,suspend,False,False,,False
bird.geiger.ee,suspend,False,False,,False
bird.gensokyo.info,suspend,False,False,,False
bird.granford.uk,suspend,False,False,,False
bird.hock.one,suspend,False,False,,False
bird.im-in.space,suspend,False,False,,False
bird.istheguy.com,suspend,False,False,,False
bird.karatek.net,suspend,False,False,,False
bird.kuendig.io,suspend,False,False,,False
bird.lummerland.ddnss.de,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
bird.r669.live,suspend,False,False,,False
bird.seafoam.space,suspend,False,False,,False
bird.shitposted.today,suspend,False,False,,False
bird.tracto.pl,suspend,False,False,,False
bird.waffles.fun,suspend,False,False,,False
bird.xtra.nu,suspend,False,False,,False
bird.zerojay.com,suspend,False,False,,False
bird.zvo.io,suspend,False,False,,False
birdbots.leptonics.com,suspend,False,False,,False
birdlive.grupotd.nat.cu,suspend,False,False,,False
birdmakeup.opiumpost.org,suspend,False,False,,False
birds.garden,suspend,False,False,,False
birdsite.am-institute.swiss,suspend,False,False,,False
birdsite.archybold.com,suspend,False,False,,False
birdsite.axeleroy.com,suspend,False,False,,False
birdsite.b93.dece.space,suspend,False,False,,False
birdsite.blahaj.social,suspend,False,False,,False
birdsite.blazelight.dev,suspend,False,False,,False
birdsite.cbruegg.com,suspend,False,False,,False
birdsite.centennial.root.sx,suspend,False,False,,False
birdsite.cloutier.co,suspend,False,False,,False
birdsite.csachweh.de,suspend,False,False,,False
birdsite.darkesttimeline.social,suspend,False,False,,False
birdsite.datboi.network,suspend,False,False,,False
birdsite.davinkevin.fr,suspend,False,False,,False
birdsite.falkensweb.com,suspend,False,False,,False
birdsite.felixmueller.cloud,suspend,False,False,,False
birdsite.frog.fashion,suspend,False,False,,False
birdsite.gabeappleton.me,suspend,False,False,,False
birdsite.gnyo.org,suspend,False,False,,False
birdsite.gred.al,suspend,False,False,,False
birdsite.gxvwb.dev,suspend,False,False,,False
birdsite.hexix.de,suspend,False,False,,False
birdsite.hwarf.com,suspend,False,False,,False
birdsite.ingwie.me,suspend,False,False,,False
birdsite.intra.kaijauch.de,suspend,False,False,,False
birdsite.james.moody.name,suspend,False,False,,False
birdsite.jupiterslanding.social,suspend,False,False,,False
birdsite.k-fortytwo.de,suspend,False,False,,False
birdsite.kaijauch.de,suspend,False,False,,False
birdsite.kohl.dev,suspend,False,False,,False
birdsite.koyu.space,suspend,False,False,,False
birdsite.lakedrops.com,suspend,False,False,,False
birdsite.link,suspend,False,False,,False
birdsite.lipsia.casa,suspend,False,False,,False
birdsite.live,suspend,False,False,,False
birdsite.lluni.de,suspend,False,False,,False
birdsite.marschik.me,suspend,False,False,,False
birdsite.mastodon.land,suspend,False,False,,False
birdsite.mastodon.me.uk,suspend,False,False,,False
birdsite.miisu.net,suspend,False,False,,False
birdsite.monster,suspend,False,False,,False
birdsite.nickurak.ca,suspend,False,False,,False
birdsite.noitl.space,suspend,False,False,,False
birdsite.nytpu.com,suspend,False,False,,False
birdsite.oliviaappleton.com,suspend,False,False,,False
birdsite.otmns.net,suspend,False,False,,False
birdsite.outadoc.fr,suspend,False,False,,False
birdsite.platypush.tech,suspend,False,False,,False
birdsite.rap.social,suspend,False,False,,False
birdsite.schafscheiss.com,suspend,False,False,,False
birdsite.seejy.ninja,suspend,False,False,,False
birdsite.slashdev.space,suspend,False,False,,False
birdsite.spectreos.de,suspend,False,False,,False
birdsite.tableflip.zone,suspend,False,False,,False
birdsite.tcjc.uk,suspend,False,False,,False
birdsite.tedandrachel.com,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
birdsite.toot.si,suspend,False,False,,False
birdsite.vish.link,suspend,False,False,,False
birdsite.vrparty.social,suspend,False,False,,False
birdsite.weiranzhang.com,suspend,False,False,,False
birdsite.wilde.cloud,suspend,False,False,,False
birdsitelive.angrydome.au,suspend,False,False,,False
birdsitelive.baguette-it.social,suspend,False,False,,False
birdsitelive.bubbletea.dev,suspend,False,False,,False
birdsitelive.chatty.monster,suspend,False,False,,False
birdsitelive.codingneko.com,suspend,False,False,,False
birdsitelive.falschgold.net,suspend,False,False,,False
birdsitelive.ffvo.dev,suspend,False,False,,False
birdsitelive.janngobble.synology.me,suspend,False,False,,False
birdsitelive.kevinyank.com,suspend,False,False,,False
birdsitelive.laski.app,suspend,False,False,,False
birdsitelive.leonardwong.tech,suspend,False,False,,False
birdsitelive.loca.lt,suspend,False,False,,False
birdsitelive.mastodon.vm.statshelix.com,suspend,False,False,,False
birdsitelive.moistgarbage.info,suspend,False,False,,False
birdsitelive.nullreference.io,suspend,False,False,,False
birdsitelive.obey.social,suspend,False,False,,False
birdsitelive.peanutlasko.com,suspend,False,False,,False
birdsitelive.samedwards.ca,suspend,False,False,,False
birdsitelive.sboulema.nl,suspend,False,False,,False
birdsitelive.self-hosted.site,suspend,False,False,,False
birdsitelive.treffler.cloud,suspend,False,False,,False
bitacadie.com,suspend,False,False,,False
