domain,severity,reject_media,reject_reports,public_comment,obfuscate
*.10minutepleroma.com,suspend,False,False,,False
0x0.st,suspend,False,False,,False
0x68756773.moe,suspend,False,False,,False
101010.pl,suspend,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
4aem.com,suspend,False,False,,False
8777.ch,suspend,False,False,,False
a.sc,suspend,False,False,,False
absturztau.be,suspend,False,False,,False
activism.openworlds.info,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
adachi.party,suspend,False,False,,False
addy.gg,suspend,False,False,,False
aethy.com,suspend,False,False,,False
affiliates.social,suspend,False,False,,False
agdersam.no,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
aidoru.cafe,suspend,False,False,,False
akko.disqordia.space,suspend,False,False,,False
akko.saturno.black,suspend,False,False,,False
alive.bar,suspend,False,False,,False
alteregocreations.com,suspend,False,False,,False
anemoneya.me,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
animalliberation.social,suspend,False,False,,False
anime.website,suspend,False,False,,False
animeisgay.com,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
antivaxxer.icu,suspend,False,False,,False
aoq.me,suspend,False,False,,False
ap.sevvie.ltd,suspend,False,False,,False
app.kenhbit.com,suspend,False,False,,False
arachnid.town,suspend,False,False,,False
argentum.social,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
aspiechattr.me,silence,False,False,,False
awoo.fyi,suspend,False,False,,False
awootism.club,suspend,False,False,,False
awscommunity.social,suspend,False,False,,False
awwter.online,suspend,False,False,,False
aytolis.mayvaneday.art,suspend,False,False,,False
azumanga.gay,suspend,False,False,,False
badly.co,suspend,False,False,,False
bae.st,suspend,False,False,,False
banana.dog,suspend,False,False,,False
banepo.st,suspend,False,False,,False
bar.arumoon.ru,suspend,False,False,,False
baraag.net,suspend,False,False,,False
based.directory,suspend,False,False,,False
bassam.social,suspend,False,False,,False
bbs.kawa-kun.com,suspend,False,False,,False
beefyboys.club,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
berserker.town,suspend,False,False,,False
beta.birdsite.live,silence,False,False,,False
bigguys.club,suspend,False,False,,False
bikeshed.party,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
birds.garden,suspend,False,False,,False
birdsite.slashdev.space,silence,False,False,,False
birdsite.wilde.cloud,silence,False,False,,False
bitcoinhackers.org,suspend,False,False,,False
bittube.video,suspend,False,False,,False
blacksun.social,suspend,False,False,,False
blob.cat,suspend,False,False,,False
boks.moe,suspend,False,False,,False
botsin.space,silence,False,False,,False
boymoder.biz,suspend,False,False,,False
boyter.org,suspend,False,False,,False
brainsoap.net,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
brotka.st,suspend,False,False,,False
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,False,False,,False
bungle.online,suspend,False,False,,False
bylines.social,silence,False,False,,False
c.im,suspend,False,False,,False
cachapa.moe,suspend,False,False,,False
cachapa.xyz,suspend,False,False,,False
calckey.cloud,suspend,False,False,,False
calckey.social,suspend,False,False,,False
calobar.club,suspend,False,False,,False
campaign.openworlds.info,suspend,False,False,,False
campduffel.social,suspend,False,False,,False
carnivore.social,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
cdrom.tokyo,suspend,False,False,,False
celebrity.social,suspend,False,False,,False
censorship.icu,suspend,False,False,,False
childpawn.shop,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
chungus.cc,suspend,False,False,,False
clar.ke,suspend,False,False,,False
clew.lol,suspend,False,False,,False
climatejustice.social,silence,False,False,,False
cliterati.club,suspend,False,False,,False
cloudflare.social,silence,False,False,,False
club.darknight-coffee.org,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
clubcyberia.io,suspend,False,False,,False
cobblestone.rocks,suspend,False,False,,False
cofe.rocks,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
colovo.com,suspend,False,False,,False
comfyboy.club,suspend,False,False,,False
conchrepublic.social,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
convo.casa,silence,False,False,,False
coom.club,suspend,False,False,,False
counter.fedi.live,suspend,False,False,,False
cpluspatch.com,suspend,False,False,,False
cpluspatch.dev,suspend,False,False,,False
cryo.icu,silence,False,False,,False
crypto-group-buy.com,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptotalks.social,suspend,False,False,,False
cryptotooter.com,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.desupost.soy,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cunny.finance,suspend,False,False,,False
cupoftea.social,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cybercrusade.xyz,suspend,False,False,,False
cyberretards.xyz,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
cybre.club,suspend,False,False,,False
d-fens.systems,suspend,False,False,,False
daishouri.moe,suspend,False,False,,False
danksquad.org,suspend,False,False,,False
darlow.co.uk,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
declin.eu,suspend,False,False,,False
definitely-not-archivefedifor.fun,suspend,False,False,,False
degenerates.fail,suspend,False,False,,False
degooglization.icu,suspend,False,False,,False
dembased.xyz,suspend,False,False,,False
desupost.soy,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
dev-wiki.de,suspend,False,False,,False
develop.gab.com,suspend,False,False,,False
dickkickextremist.xyz,suspend,False,False,,False
discordian.social,silence,False,False,,False
disqordia.space,suspend,False,False,,False
disroot.org,suspend,False,False,,False
doctors4covidethics.org,suspend,False,False,,False
dogsex.org,suspend,False,False,,False
dotnet.social,suspend,False,False,,False
dotsod.com,suspend,False,False,,False
drow.be,suspend,False,False,,False
dtzbts.xyz,suspend,False,False,,False
dumbopinions.xyz,suspend,False,False,,False
durst.world,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
echelon.pl,suspend,False,False,,False
eeeeeeeee.eu,suspend,False,False,,False
egirls.gay,silence,False,False,,False
eientei.org,suspend,False,False,,False
eightpoint.app,silence,False,False,,False
eldritch.cafe,suspend,False,False,,False
elekk.xyz,suspend,False,False,,False
elonsucks.org,suspend,False,False,,False
emacs.ch,suspend,False,False,,False
endtimebelievers.com,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
equel.social,suspend,False,False,,False
eroaward.com,suspend,False,False,,False
etiketi.de,suspend,False,False,,False
europa.eu,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
expired.mentality.rip,suspend,False,False,,False
facebook.com,suspend,False,False,,False
fapsi.be,suspend,False,False,,False
federated.fun,suspend,False,False,,False
fedi.aroace.space,suspend,False,False,,False
fedi.murky.club,suspend,False,False,,False
fedi.site,suspend,False,False,,False
fedichive.tk,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fidelis.social,suspend,False,False,,False
fightthis.net,suspend,False,False,,False
fiume.club,suspend,False,False,,False
