domain,severity,reject_media,reject_reports,public_comment,obfuscate
076.moe,suspend,False,False,,False
076.ne.jp,suspend,False,False,,False
0xspace.social,suspend,False,False,,False
101010.pl,silence,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
a.sc,suspend,False,False,,False
absturztau.be,silence,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
adachi.party,suspend,False,False,,False
adforward.org,silence,False,False,,False
aether.run,suspend,False,False,,False
aethy.com,suspend,False,False,,False
ai.wiki,suspend,False,False,,False
alterracloud.com,suspend,False,False,,False
angrytoday.com,suspend,False,False,,False
annihilation.social,suspend,False,False,,False
anon-kenkai.com,suspend,False,False,,False
arachnid.town,silence,False,False,,False
asbestos.cafe,suspend,False,False,,False
asteroidm.space,suspend,False,False,,False
bae.st,suspend,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,suspend,False,False,,False
bassam.social,suspend,False,False,,False
beefyboys.win,suspend,False,False,,False
berserker.town,suspend,False,False,,False
besties.com,suspend,False,False,,False
bigballchunkyverse.online,suspend,False,False,,False
bird.makeup,suspend,False,False,,False
birdsite.thorlaksson.com,suspend,False,False,,False
blob.cat,suspend,False,False,,False
body.social,silence,False,False,,False
boks.moe,suspend,False,False,,False
botsin.space,silence,False,False,,False
breastmilk.club,suspend,False,False,,False
brid.gy,suspend,False,False,,False
brighteon.social,suspend,False,False,,False
bubbletea.dev,suspend,False,False,,False
bungle.online,suspend,False,False,,False
buttplug.zone,silence,False,False,,False
cachapa.xyz,suspend,False,False,,False
cannibal.cafe,suspend,False,False,,False
catgirl.life,suspend,False,False,,False
catposter.club,suspend,False,False,,False
cherryberry.pink,suspend,False,False,,False
childlove.space,suspend,False,False,,False
childlove.su,suspend,False,False,,False
chudbuds.lol,suspend,False,False,,False
clew.lol,suspend,False,False,,False
clubcyberia.co,suspend,False,False,,False
cmm.fyi,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
cottoncandy.cafe,suspend,False,False,,False
crlf.ninja,suspend,False,False,,False
crucible.world,suspend,False,False,,False
cryptodon.lol,suspend,False,False,,False
cryptotalks.social,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cunnyborea.space,suspend,False,False,,False
cunnyborea.top,suspend,False,False,,False
cutefunny.net,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
decayable.ink,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
digitaldata.social,suspend,False,False,,False
discourse.helenprejean.org,suspend,False,False,,False
disqordia.space,silence,False,False,,False
djsumdog.com,suspend,False,False,,False
don.neet.co.jp,suspend,False,False,,False
duckdns.org,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
educhat.social,suspend,False,False,,False
edusocial.it,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eightpoint.app,silence,False,False,,False
elekk.xyz,silence,False,False,,False
elonsucks.org,suspend,False,False,,False
epsilon.social,suspend,False,False,,False
eskimo.com,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
exploding-heads.com,suspend,False,False,,False
fbxl.net,suspend,False,False,,False
fed.celp.de,silence,False,False,,False
federated.fun,suspend,False,False,,False
femboys.love,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fightthis.net,suspend,False,False,,False
fluf.club,suspend,False,False,,False
folksocial.org,silence,False,False,,False
forestver.se,suspend,False,False,,False
forum-lucifer.com,suspend,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,suspend,False,False,,False
freemasonry.social,silence,False,False,,False
freesoftwareextremist.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
freetalklive.com,suspend,False,False,,False
freethinkers.lgbt,suspend,False,False,,False
frennet.xyz,suspend,False,False,,False
fusionpros.social,suspend,False,False,,False
game-tecx.de,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gearlandia.haus,suspend,False,False,,False
genderheretics.xyz,suspend,False,False,,False
gensokyo.club,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
gervtuber.de,suspend,False,False,,False
gh0st.live,suspend,False,False,,False
ghetti.monster,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
glee.li,suspend,False,False,,False
goreslut.xyz,suspend,False,False,,False
groupsebelah.com,suspend,False,False,,False
h5q.net,suspend,False,False,,False
hentai.baby,suspend,False,False,,False
hidamari.apartments,suspend,False,False,,False
hitchhiker.social,suspend,False,False,,False
husk.site,suspend,False,False,,False
i.transmit.love,suspend,False,False,,False
icod.de,suspend,False,False,,False
iddqd.social,suspend,False,False,,False
ignorelist.com,suspend,False,False,,False
intkos.link,suspend,False,False,,False
kawa-kun.com,suspend,False,False,,False
kernkraft.social,suspend,False,False,,False
kibitz.cloud,suspend,False,False,,False
kitsunemimi.club,suspend,False,False,,False
kiwifarms.cc,suspend,False,False,,False
kokuusa.club,suspend,False,False,,False
kommunismus.social,suspend,False,False,,False
kompost.cz,suspend,False,False,,False
kurosawa.moe,suspend,False,False,,False
leafposter.club,suspend,False,False,,False
letsalllovela.in,suspend,False,False,,False
lewdieheaven.com,suspend,False,False,,False
liberdon.com,suspend,False,False,,False
ligma.pro,suspend,False,False,,False
loli.church,suspend,False,False,,False
lolicon.rocks,suspend,False,False,,False
lolison.network,suspend,False,False,,False
lolison.top,suspend,False,False,,False
lovingexpressions.net,suspend,False,False,,False
lucha.nyc,suspend,False,False,,False
m.corduba.tech,suspend,False,False,,False
makemysarcophagus.com,suspend,False,False,,False
mapsupport.de,suspend,False,False,,False
marsey.moe,suspend,False,False,,False
masochi.st,suspend,False,False,,False
mastadon.astuto.cc,suspend,False,False,,False
mastdn.social,silence,False,False,,False
mastertibbles.co.uk,suspend,False,False,,False
mastinator.com,suspend,False,False,,False
mastobate.social,silence,False,False,,False
mastodon-ero.xyz,suspend,False,False,,False
mastodon.cloud,silence,False,False,,False
mastodon.integrata-stiftung.de,suspend,False,False,,False
mastodon.london,silence,False,False,,False
mastodon.my,suspend,False,False,,False
mastodon.snmsoc.org,suspend,False,False,,False
mastodon.wien,silence,False,False,,False
mastodong.lol,suspend,False,False,,False
mathias777.com,silence,False,False,,False
matrix.rocks,suspend,False,False,,False
mentalhealth-masto.com,suspend,False,False,,False
merovingian.club,suspend,False,False,,False
milker.cafe,suspend,False,False,,False
minds.com,suspend,False,False,,False
mirr0r.city,suspend,False,False,,False
misskey-forkbomb.cf,suspend,False,False,,False
misskey.cf,suspend,False,False,,False
misskey.io,silence,False,False,,False
moa.st,suspend,False,False,,False
monads.online,suspend,False,False,,False
mostr.pub,suspend,False,False,,False
moth.social,silence,False,False,,False
mouse.services,suspend,False,False,,False
mrhands.horse,suspend,False,False,,False
mstdn.jp,silence,False,False,,False
mugicha.club,suspend,False,False,,False
mxin.moe,suspend,False,False,,False
mycub.space,suspend,False,False,,False
nafo.uk,silence,False,False,,False
natehiggers.online,suspend,False,False,,False
nationalist.social,suspend,False,False,,False
neenster.org,suspend,False,False,,False
neomobius.com,suspend,False,False,,False
neuroscience-mastodon.com,suspend,False,False,,False
neuss.social,suspend,False,False,,False
newsie.social,silence,False,False,,False
nicecrew.digital,suspend,False,False,,False
niederbayern.social,suspend,False,False,,False
nightshift.social,suspend,False,False,,False
nnia.space,suspend,False,False,,False
noagendasocial.com,suspend,False,False,,False
noauthority.social,suspend,False,False,,False
nobodyhasthe.biz,suspend,False,False,,False
norwoodzero.net,suspend,False,False,,False
novoa.nagoya,suspend,False,False,,False
nyanide.com,suspend,False,False,,False
nycity.social,silence,False,False,,False
obo.sh,suspend,False,False,,False
occultist.space,suspend,False,False,,False
oddballs.online,suspend,False,False,,False
onionfarms.org,suspend,False,False,,False
outpoa.st,suspend,False,False,,False
paravielfalt.zone,suspend,False,False,,False
parcero.bond,suspend,False,False,,False
pawoo.net,suspend,False,False,,False
pedo.school,suspend,False,False,,False
pettanko.art,suspend,False,False,,False
phyrexia.ru,suspend,False,False,,False
pibvt.net,suspend,False,False,,False
pieville.net,suspend,False,False,,False
pisskey.io,suspend,False,False,,False
pizzaf.art,suspend,False,False,,False
pkteerium.xyz,suspend,False,False,,False
poa.st,suspend,False,False,,False
poast.tv,suspend,False,False,,False
pone.social,suspend,False,False,,False
poster.place,suspend,False,False,,False
pouet.evolix.org,suspend,False,False,,False
pouque.net,suspend,False,False,,False
poweredbycocaine.com,suspend,False,False,,False
press.coop,silence,False,False,,False
privex.social,suspend,False,False,,False
qoto.org,silence,False,False,,False
quanta.wiki,suspend,False,False,,False
raccoon.quest,suspend,False,False,,False
