domain,severity,reject_media,reject_reports,public_comment,obfuscate
101010.pl,silence,False,False,,False
13bells.com,suspend,False,False,,False
1611.social,suspend,False,False,,False
a.sc,suspend,False,False,,False
activitypub-proxy.cf,suspend,False,False,,False
activitypub-troll.cf,suspend,False,False,,False
aethy.com,silence,False,False,,False
anime.website,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
bae.st,silence,False,False,,False
banepo.st,suspend,False,False,,False
baraag.net,silence,False,False,,False
beefyboys.win,suspend,False,False,,False
berserker.town,suspend,False,False,,False
breastmilk.club,suspend,False,False,,False
brighteon.social,silence,False,False,,False
calobar.club,suspend,False,False,,False
cawfee.club,suspend,False,False,,False
chudbuds.lol,silence,False,False,,False
clubcyberia.co,suspend,False,False,,False
collapsitarian.io,suspend,False,False,,False
contrapointsfan.club,suspend,False,False,,False
cum.camp,suspend,False,False,,False
cum.salon,suspend,False,False,,False
cybercriminal.eu,suspend,False,False,,False
cyberstorm.one,suspend,False,False,,False
detroitriotcity.com,suspend,False,False,,False
eatthebugs.social,suspend,False,False,,False
eientei.org,suspend,False,False,,False
eveningzoo.club,suspend,False,False,,False
federated.fun,suspend,False,False,,False
feral.cafe,suspend,False,False,,False
fr13nd5.com,silence,False,False,,False
freak.university,suspend,False,False,,False
freeatlantis.com,silence,False,False,,False
freecumextremist.com,suspend,False,False,,False
freespeech.group,suspend,False,False,,False
freespeechextremist.com,silence,False,False,,False
freezepeach.xyz,silence,False,False,,False
frennet.xyz,suspend,False,False,,False
froth.zone,silence,False,False,,False
gab.ai,suspend,False,False,,False
gab.com,suspend,False,False,,False
gameliberty.club,suspend,False,False,,False
gearlandia.haus,silence,False,False,,False
genderheretics.xyz,suspend,False,False,,False
geofront.rocks,suspend,False,False,,False
gleasonator.com,suspend,False,False,,False
glindr.org,silence,False,False,,False
glowers.club,suspend,False,False,,False
hentai.baby,suspend,False,False,,False
honkwerx.tech,suspend,False,False,,False
hunk.city,suspend,False,False,,False
husk.site,suspend,False,False,,False
iddqd.social,suspend,False,False,,False
ignorelist.com,suspend,False,False,,False
intkos.link,suspend,False,False,,False
kiwifarms.cc,suspend,False,False,,False
kiwifarms.is,suspend,False,False,,False
kiwifarms.net,suspend,False,False,,False
kompost.cz,suspend,False,False,,False
kurosawa.moe,suspend,False,False,,False
leafposter.club,suspend,False,False,,False
letsalllovela.in,suspend,False,False,,False
liberdon.com,silence,False,False,,False
ligma.pro,silence,False,False,,False
lolison.network,suspend,False,False,,False
lolison.top,suspend,False,False,,False
masochi.st,suspend,False,False,,False
mastertibbles.co.uk,suspend,False,False,,False
mastinator.com,suspend,False,False,,False
mastodong.lol,silence,False,False,,False
merovingian.club,silence,False,False,,False
misskey-forkbomb.cf,suspend,False,False,,False
mugicha.club,suspend,False,False,,False
nazi.social,suspend,False,False,,False
neckbeard.xyz,suspend,False,False,,False
nicecrew.digital,suspend,False,False,,False
nnia.space,suspend,False,False,,False
noagendasocial.com,silence,False,False,,False
obo.sh,suspend,False,False,,False
outpoa.st,silence,False,False,,False
pawoo.net,silence,False,False,,False
paypig.org,suspend,False,False,,False
pedo.school,silence,False,False,,False
pibvt.net,suspend,False,False,,False
pieville.net,suspend,False,False,,False
pisskey.io,suspend,False,False,,False
poa.st,silence,False,False,,False
pooper.social,suspend,False,False,,False
poster.place,suspend,False,False,,False
posting.lolicon.rocks,suspend,False,False,,False
preteengirls.biz,suspend,False,False,,False
qoto.org,silence,False,False,,False
quanta.wiki,suspend,False,False,,False
rakket.app,suspend,False,False,,False
rcsocial.net,silence,False,False,,False
rdrama.cc,suspend,False,False,,False
refusal.biz,suspend,False,False,,False
refusal.llc,suspend,False,False,,False
repl.co,suspend,False,False,,False
rojogato.com,suspend,False,False,,False
rot.gives,suspend,False,False,,False
ryona.agency,suspend,False,False,,False
schwartzwelt.xyz,suspend,False,False,,False
scots.network,suspend,False,False,,False
seal.cafe,suspend,False,False,,False
sheep.network,suspend,False,False,,False
shigusegubu.club,suspend,False,False,,False
shitpost.cloud,suspend,False,False,,False
shitposter.club,silence,False,False,,False
shortstackran.ch,silence,False,False,,False
shota.house,silence,False,False,,False
shrimpcam.pw,suspend,False,False,,False
shrimpposter.club,suspend,False,False,,False
skippers-bin.com,suspend,False,False,,False
sleepy.cafe,suspend,False,False,,False
sneed.social,suspend,False,False,,False
solagg.com,suspend,False,False,,False
spinster.xyz,suspend,False,False,,False
springbo.cc,suspend,False,False,,False
squid.kids,suspend,False,False,,False
stereophonic.space,suspend,False,False,,False
strelizia.net,suspend,False,False,,False
tastingtraffic.net,suspend,False,False,,False
troll.cafe,suspend,False,False,,False
trumpislovetrumpis.life,suspend,False,False,,False
truthsocial.co.in,suspend,False,False,,False
ua-fediland.de,suspend,False,False,,False
unsafe.space,suspend,False,False,,False
urchan.org,suspend,False,False,,False
varishangout.net,suspend,False,False,,False
whinge.town,suspend,False,False,,False
wolfgirl.bar,suspend,False,False,,False
workers.dev,suspend,False,False,,False
worm.pink,silence,False,False,,False
xn--p1abe3d.xn--80asehdb,suspend,False,False,,False
yggdrasil.social,suspend,False,False,,False
youjo.love,suspend,False,False,,False
zztails.gay,suspend,False,False,,False
