#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
076.ne.jp,suspend,false,false,,false
0w0.is,suspend,false,false,,false
0x68756773.moe,suspend,false,false,,false
101010.pl,suspend,false,false,,false
10minutepleroma.com,suspend,false,false,,false
1210.nl,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1745.info,suspend,false,false,,false
3q3.de,suspend,false,false,,false
4aem.com,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
80percent.social,suspend,false,false,,false
8777.ch,suspend,false,false,,false
a.sc,suspend,false,false,,false
aaoth.xyz,suspend,false,false,,false
abdl.link,silence,false,false,,false
abraham.su,suspend,false,false,,false
activism.openworlds.info,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
adrienlacombe.me,suspend,false,false,,false
aethy.com,suspend,false,false,,false
affiliates.social,suspend,false,false,,false
agates.io,suspend,false,false,,false
agdersam.no,suspend,false,false,,false
agyilag.zokni.xyz,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
aillust.fun,suspend,false,false,,false
aipub.social,suspend,false,false,,false
airen-no-jikken.icu,suspend,false,false,,false
airis.work,suspend,false,false,,false
ak.kawen.space,suspend,false,false,,false
ak.kyaruc.moe,suspend,false,false,,false
akko.disqordia.space,suspend,false,false,,false
akko.saturno.black,suspend,false,false,,false
akko.wtf,suspend,false,false,,false
akkos.fritu.re,suspend,false,false,,false
akm.longyap.name.my,suspend,false,false,,false
albin.social,suspend,false,false,,false
allegedly.illegitimate.technology,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
alteregocreations.com,suspend,false,false,,false
anarres.family,suspend,false,false,,false
ancreport.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
anime.website,suspend,false,false,,false
animesexual.community,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
anthro.cc,suspend,false,false,,false
ap.maladaptive.art,suspend,false,false,,false
apathy.tv,suspend,false,false,,false
app.wafrn.net,suspend,false,false,,false
applied-langua.ge,suspend,false,false,,false
arachnid.town,suspend,false,false,,false
arasaka.vip,suspend,false,false,,false
archivefedifor.fun,suspend,false,false,,false
argentum.social,suspend,false,false,,false
aria.dog,suspend,false,false,,false
ariona.fr,suspend,false,false,,false
artalley.masto.host,suspend,false,false,,false
artalley.social,silence,false,false,,false
arthaus.social,silence,false,false,,false
artisan.chat,silence,false,false,,false
asbestos.cafe,suspend,false,false,,false
asimon.org,suspend,false,false,,false
asphodel.rip,suspend,false,false,,false
aspiechattr.me,suspend,false,false,,false
assortedflotsam.com,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
awoo.fai.st,suspend,false,false,,false
awootism.club,suspend,false,false,,false
b.9chan.lol,suspend,false,false,,false
babay.icu,suspend,false,false,,false
babyfurs.social,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
bajax.us,suspend,false,false,,false
banepo.st,suspend,false,false,,false
bar.arumoon.ru,suspend,false,false,,false
baraag.net,suspend,false,false,,false
bassam.social,suspend,false,false,,false
beagle.casa,suspend,false,false,,false
bearygoosey.com,suspend,false,false,,false
beaware.live,suspend,false,false,,false
beef.moe,suspend,false,false,,false
beefyboys.club,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beehub.org,suspend,false,false,,false
beepboop.ga,suspend,false,false,,false
berserker.town,suspend,false,false,,false
beta.birdsite.live,silence,false,false,,false
beta.mstdn.cf,suspend,false,false,,false
bgzashtita.es,suspend,false,false,,false
bibly.com,suspend,false,false,,false
biendeo.com,suspend,false,false,,false
bigguys.club,suspend,false,false,,false
bigrelay.social,suspend,false,false,,false
bigzu.cc,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
binarydad.com,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
birdity.club,suspend,false,false,,false
birds.garden,suspend,false,false,,false
birdsite.wilde.cloud,suspend,false,false,,false
birdsitelive.moistgarbage.info,suspend,false,false,,false
bitcoin.ninja,suspend,false,false,,false
bitcoinhackers.org,silence,false,false,,false
bitcoinlizard.net,suspend,false,false,,false
bitcointv.com,suspend,false,false,,false
bka.li,suspend,false,false,,false
blackoutstout.space,suspend,false,false,,false
blackstar.cafe,suspend,false,false,,false
blazingopen.space,suspend,false,false,,false
blob.cat,suspend,false,false,,false
blockedur.mom,suspend,false,false,,false
bofa.lol,suspend,false,false,,false
boingo00.wtf,suspend,false,false,,false
boks.moe,suspend,false,false,,false
boles.xyz,suspend,false,false,,false
bookwor.ms,silence,false,false,,false
borg.social,suspend,false,false,,false
bostonsocial.online,suspend,false,false,,false
boymoder.biz,suspend,false,false,,false
bozgor.org,suspend,false,false,,false
brainsoap.net,suspend,false,false,,false
brapbarn.farm,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
brotka.st,suspend,false,false,,false
bruh.homd.xyz,suspend,false,false,,false
bruh.social,suspend,false,false,,false
btrf.ly,suspend,false,false,,false
btrfly.social,suspend,false,false,,false
bubbletea.dev,suspend,false,false,,false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,,false
bungle.online,suspend,false,false,,false
bunnyanarchy.org,suspend,false,false,,false
burger.rodeo,suspend,false,false,,false
busshi.moe,suspend,false,false,,false
bussy.monster,suspend,false,false,,false
bylines.social,suspend,false,false,,false
cachapa.moe,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
cafkafk.com,suspend,false,false,,false
calobar.club,suspend,false,false,,false
capystan.net,suspend,false,false,,false
carnivore.social,suspend,false,false,,false
carrot.army,suspend,false,false,,false
catboi.party,suspend,false,false,,false
catgirl.land,suspend,false,false,,false
catgirls.nya.gay,suspend,false,false,,false
catposter.club,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
celebrity.social,suspend,false,false,,false
cf,suspend,false,false,,false
chamba.social,suspend,false,false,,false
cheeseburger.social,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
china.al,silence,false,false,,false
chir.rs,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chudbuds.org,suspend,false,false,,false
chungus.cc,suspend,false,false,,false
cipay.ca,suspend,false,false,,false
civiq.social,suspend,false,false,,false
clew.lol,suspend,false,false,,false
cliterati.club,suspend,false,false,,false
cloudisland.online,suspend,false,false,,false
cloutfa.re,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
cobblestone.rocks,suspend,false,false,,false
cock.li,suspend,false,false,,false
cocoa.hoto.rocks,suspend,false,false,,false
collapse.pub,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
communick.com,suspend,false,false,,false
community.halle-leaks.de,suspend,false,false,,false
computerfairi.es,suspend,false,false,,false
conchrepublic.social,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
convo.casa,suspend,false,false,,false
coolsite.win,suspend,false,false,,false
coom.club,suspend,false,false,,false
creativity.cafe,suspend,false,false,,false
criminallycute.fi,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
crowleyclub.com,suspend,false,false,,false
crucible.world,suspend,false,false,,false
crypto-group-buy.com,suspend,false,false,,false
cryptocartel.social,suspend,false,false,,false
cryptodon.lol,suspend,false,false,,false
cryptoschizo.club,suspend,false,false,,false
cryptotalks.social,suspend,false,false,,false
cryptotooter.com,suspend,false,false,,false
csdisaster.club,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.desupost.soy,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cunny.gay,suspend,false,false,,false
curiouscabbit.social,silence,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberdruids.club,suspend,false,false,,false
cyberretards.xyz,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
cybrkyd.com,suspend,false,false,,false
cyuucat.moe,suspend,false,false,,false
d-fens.systems,suspend,false,false,,false
daishouri.moe,suspend,false,false,,false
danksquad.org,suspend,false,false,,false
danksquad.xyz,suspend,false,false,,false
danrees.me,suspend,false,false,,false
dark-alexandr.net,suspend,false,false,,false
darlow.co.uk,suspend,false,false,,false
daspr.io,suspend,false,false,,false
ddnss.de,suspend,false,false,,false
deadreckoning.cc,suspend,false,false,,false
debilosempire.org,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
decept.org,suspend,false,false,,false
declin.eu,suspend,false,false,,false
deepnexus.link,suspend,false,false,,false
definitely-not-archivefedifor.fun,suspend,false,false,,false
dembased.xyz,suspend,false,false,,false
democracy.town,silence,false,false,,false
denden.world,suspend,false,false,,false
desuposter.club,suspend,false,false,,false
