#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
*.10minutepleroma.com,suspend,false,false,,false
0x0.st,suspend,false,false,,false
0x68756773.moe,suspend,false,false,,false
101010.pl,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
4aem.com,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
8777.ch,suspend,false,false,,false
a.sc,suspend,false,false,,false
absturztau.be,suspend,false,false,,false
activism.openworlds.info,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
addy.gg,suspend,false,false,,false
aethy.com,suspend,false,false,,false
affiliates.social,suspend,false,false,,false
agdersam.no,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
aidoru.cafe,suspend,false,false,,false
akko.disqordia.space,suspend,false,false,,false
akko.saturno.black,suspend,false,false,,false
alive.bar,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
alteregocreations.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
animalliberation.social,suspend,false,false,,false
anime.website,suspend,false,false,,false
animeisgay.com,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
antivaxxer.icu,suspend,false,false,,false
aoq.me,suspend,false,false,,false
ap.sevvie.ltd,suspend,false,false,,false
app.kenhbit.com,suspend,false,false,,false
arachnid.town,suspend,false,false,,false
argentum.social,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
aspiechattr.me,silence,false,false,,false
awoo.fyi,suspend,false,false,,false
awootism.club,suspend,false,false,,false
awscommunity.social,suspend,false,false,,false
awwter.online,suspend,false,false,,false
aytolis.mayvaneday.art,suspend,false,false,,false
azumanga.gay,suspend,false,false,,false
babka.social,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
banana.dog,suspend,false,false,,false
banepo.st,suspend,false,false,,false
bar.arumoon.ru,suspend,false,false,,false
baraag.net,suspend,false,false,,false
based.directory,suspend,false,false,,false
bassam.social,suspend,false,false,,false
bbs.kawa-kun.com,suspend,false,false,,false
beefyboys.club,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
bennypowers.dev,suspend,false,false,,false
berlin.social,suspend,false,false,,false
berserker.town,suspend,false,false,,false
beta.birdsite.live,silence,false,false,,false
bigguys.club,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
birds.garden,suspend,false,false,,false
birdsite.slashdev.space,silence,false,false,,false
birdsite.wilde.cloud,silence,false,false,,false
bitcoinhackers.org,suspend,false,false,,false
bittube.video,suspend,false,false,,false
blacksun.social,suspend,false,false,,false
blob.cat,suspend,false,false,,false
boks.moe,suspend,false,false,,false
botsin.space,silence,false,false,,false
boymoder.biz,suspend,false,false,,false
boyter.org,suspend,false,false,,false
brainsoap.net,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
brotka.st,suspend,false,false,,false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,,false
bungle.online,suspend,false,false,,false
bylines.social,silence,false,false,,false
c.im,suspend,false,false,,false
cachapa.moe,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
calckey.cloud,suspend,false,false,,false
calckey.social,suspend,false,false,,false
calobar.club,suspend,false,false,,false
campaign.openworlds.info,suspend,false,false,,false
campduffel.social,suspend,false,false,,false
carnivore.social,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
cdrom.tokyo,suspend,false,false,,false
celebrity.social,suspend,false,false,,false
censorship.icu,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chungus.cc,suspend,false,false,,false
civiq.social,suspend,false,false,,false
clar.ke,suspend,false,false,,false
clew.lol,suspend,false,false,,false
climatejustice.social,silence,false,false,,false
cliterati.club,suspend,false,false,,false
cloudflare.social,silence,false,false,,false
club.darknight-coffee.org,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
clubcyberia.io,suspend,false,false,,false
cobblestone.rocks,suspend,false,false,,false
cofe.rocks,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
colovo.com,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
conchrepublic.social,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
convo.casa,silence,false,false,,false
coom.club,suspend,false,false,,false
counter.fedi.live,suspend,false,false,,false
cpluspatch.com,suspend,false,false,,false
cpluspatch.dev,suspend,false,false,,false
crucible.world,suspend,false,false,,false
cryo.icu,silence,false,false,,false
crypto-group-buy.com,suspend,false,false,,false
cryptodon.lol,suspend,false,false,,false
cryptotalks.social,suspend,false,false,,false
cryptotooter.com,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.desupost.soy,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cunny.finance,suspend,false,false,,false
cupoftea.social,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cybercrusade.xyz,suspend,false,false,,false
cyberretards.xyz,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
cybre.club,suspend,false,false,,false
d-fens.systems,suspend,false,false,,false
daishouri.moe,suspend,false,false,,false
danksquad.org,suspend,false,false,,false
darlow.co.uk,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
declin.eu,suspend,false,false,,false
definitely-not-archivefedifor.fun,suspend,false,false,,false
degenerates.fail,suspend,false,false,,false
degooglization.icu,suspend,false,false,,false
dembased.xyz,suspend,false,false,,false
desupost.soy,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
dev-wiki.de,suspend,false,false,,false
develop.gab.com,suspend,false,false,,false
dickkickextremist.xyz,suspend,false,false,,false
discordian.social,silence,false,false,,false
disqordia.space,suspend,false,false,,false
disroot.org,suspend,false,false,,false
doctors4covidethics.org,suspend,false,false,,false
dogsex.org,suspend,false,false,,false
dotnet.social,suspend,false,false,,false
dotsod.com,suspend,false,false,,false
dragonpsi.xyz,suspend,false,false,,false
drow.be,suspend,false,false,,false
dtzbts.xyz,suspend,false,false,,false
dumbopinions.xyz,suspend,false,false,,false
durst.world,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
echelon.pl,suspend,false,false,,false
eeeeeeeee.eu,suspend,false,false,,false
egirls.gay,silence,false,false,,false
eientei.org,suspend,false,false,,false
eightpoint.app,silence,false,false,,false
eldritch.cafe,suspend,false,false,,false
elekk.xyz,suspend,false,false,,false
elonsucks.org,suspend,false,false,,false
emacs.ch,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
equel.social,suspend,false,false,,false
eroaward.com,suspend,false,false,,false
etiketi.de,suspend,false,false,,false
europa.eu,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
expired.mentality.rip,suspend,false,false,,false
exploding-heads.com,suspend,false,false,,false
facebook.com,suspend,false,false,,false
fapsi.be,suspend,false,false,,false
