#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
*.10minutepleroma.com,suspend,false,false,,false
.cf,suspend,false,false,,false
076.moe,suspend,false,false,,false
0sint.social,suspend,false,false,,false
101010.pl,suspend,false,false,,false
10minutepleroma.com,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1being.org,suspend,false,false,,false
2.distsn.org,suspend,false,false,,false
2hu.club,suspend,false,false,,false
2ndamendment.social,suspend,false,false,,false
3zi.ru,suspend,false,false,,false
420blaze.it,suspend,false,false,,false
434.earth,suspend,false,false,,false
4chan.icu,suspend,false,false,,false
4qq.org,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
62x54r.ru,suspend,false,false,,false
7td.org,suspend,false,false,,false
80percent.social,suspend,false,false,,false
8777.ch,suspend,false,false,,false
a.nti.social,suspend,false,false,,false
aaathats3as.com,suspend,false,false,,false
absturztau.be,suspend,false,false,,false
accela.online,suspend,false,false,,false
activism.openworlds.info,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
activitypub.actor,suspend,false,false,,false
adachi.party,suspend,false,false,,false
addy.gg,suspend,false,false,,false
adtension.com,suspend,false,false,,false
aether.us,suspend,false,false,,false
aethy.com,suspend,false,false,,false
afd.best,suspend,false,false,,false
afterlife.masto.host,suspend,false,false,,false
agates.io,suspend,false,false,,false
ai8w.ddns.net,suspend,false,false,,false
airmail.cc,suspend,false,false,,false
ak.yass.ee,suspend,false,false,,false
albin.social,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
amiantos.net,suspend,false,false,,false
anarres.family,suspend,false,false,,false
ancreport.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
animalliberation.social,suspend,false,false,,false
anime.website,suspend,false,false,,false
animeisgay.com,suspend,false,false,,false
animesexual.community,suspend,false,false,,false
anirloli.dev,suspend,false,false,,false
anitbook.site,suspend,false,false,,false
anitwitter.com,suspend,false,false,,false
anitwitter.moe,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
anti-degeneracy.club,suspend,false,false,,false
antivaxxer.icu,suspend,false,false,,false
ap.maladaptive.art,suspend,false,false,,false
ap.tiuxo.com,suspend,false,false,,false
ap.uwu.st,silence,false,false,,false
applied-langua.ge,suspend,false,false,,false
ar.aire.ml,suspend,false,false,,false
arachnid.town,suspend,false,false,,false
archivefedifor.fun,suspend,false,false,,false
argentum.social,suspend,false,false,,false
aria.company,suspend,false,false,,false
ariona.fr,suspend,false,false,,false
aroace.space,suspend,false,false,,false
artalley.social,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
asimon.org,suspend,false,false,,false
aspiechattr.me,suspend,false,false,,false
aspirant.de,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
atrilahiji.dev,suspend,false,false,,false
autizmo.xyz,suspend,false,false,,false
awscommunity.social,suspend,false,false,,false
awwter.online,suspend,false,false,,false
azumanga.gay,suspend,false,false,,false
b10m.net,suspend,false,false,,false
babay.icu,suspend,false,false,,false
babka.social,silence,false,false,,false
babymetal.party,suspend,false,false,,false
badat.dev,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
bajax.us,suspend,false,false,,false
banana.dog,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
based.directory,suspend,false,false,,false
battlepenguin.video,suspend,false,false,,false
bbs.keinpfusch.net,suspend,false,false,,false
beefyboys.club,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beehub.org,suspend,false,false,,false
beepboop.ga,suspend,false,false,,false
beetoons.tv,suspend,false,false,,false
berserker.town,suspend,false,false,,false
berzs.xyz,suspend,false,false,,false
bestgore.fun,suspend,false,false,,false
bigchungus69.club,suspend,false,false,,false
bigguys.club,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
birb.space,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
birds.garden,suspend,false,false,,false
birdsite.am-institute.swiss,suspend,false,false,,false
birdsite.link,suspend,false,false,,false
birdsite.live,suspend,false,false,,false
birdsite.monster,suspend,false,false,,false
birdsite.toot.si,suspend,false,false,,false
biribiri.dev,suspend,false,false,,false
bitcoin-info.nl,suspend,false,false,,false
bitcoinadon.social,suspend,false,false,,false
bitcoinersagainst.boats,suspend,false,false,,false
bitcoinhackers.org,suspend,false,false,,false
bitcoinlizard.net,suspend,false,false,,false
bitcoinplebs.net,suspend,false,false,,false
bitcointv.com,suspend,false,false,,false
bittube.video,suspend,false,false,,false
blackoutstout.space,suspend,false,false,,false
blacksun.social,suspend,false,false,,false
blazelights.dev,suspend,false,false,,false
blob.cat,suspend,false,false,,false
blobturtle.club,suspend,false,false,,false
blockriot.com,suspend,false,false,,false
blogold.xyz,suspend,false,false,,false
blovice.bahnhof.cz,suspend,false,false,,false
blurts.net,suspend,false,false,,false
bodybuilding.im,suspend,false,false,,false
bofa.lol,suspend,false,false,,false
boobytooth.social,suspend,false,false,,false
boop.link,suspend,false,false,,false
boseburo.ddns.net,suspend,false,false,,false
boyter.org,suspend,false,false,,false
bozgor.org,suspend,false,false,,false
brasileiros.social,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
bronyfurry.com,suspend,false,false,,false
bsd.moe,suspend,false,false,,false
bubbletea.dev,suspend,false,false,,false
buckeye.social,suspend,false,false,,false
bugs.social,suspend,false,false,,false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,,false
bund.de,suspend,false,false,,false
bungle.online,suspend,false,false,,false
busshi.moe,suspend,false,false,,false
bv.umbrellix.org,suspend,false,false,,false
bwzone.xyz,suspend,false,false,,false
bylines.social,suspend,false,false,,false
c.im,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
cafkafk.com,suspend,false,false,,false
calculate.social,suspend,false,false,,false
calobar.club,suspend,false,false,,false
campduffel.social,suspend,false,false,,false
canberrasocial.net,suspend,false,false,,false
cantos.social,suspend,false,false,,false
capitalism.party,suspend,false,false,,false
carnivore.social,suspend,false,false,,false
carrot.army,suspend,false,false,,false
catbot.co,suspend,false,false,,false
catgirl.land,silence,false,false,,false
catgirl.life,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
cdrom.tokyo,suspend,false,false,,false
censorship.icu,suspend,false,false,,false
charlestown.social,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
chocoflan.net,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chungus.cc,suspend,false,false,,false
civiq.social,suspend,false,false,,false
clew.lol,suspend,false,false,,false
climatejustice.social,silence,false,false,,false
cliterati.club,suspend,false,false,,false
club.darknight-coffee.org,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
clube.social,suspend,false,false,,false
cmpwn.com,suspend,false,false,,false
cobblestone.rocks,suspend,false,false,,false
cocaine.ninja,suspend,false,false,,false
cock.email,suspend,false,false,,false
cock.fish,suspend,false,false,,false
cock.li,suspend,false,false,,false
cock.lu,suspend,false,false,,false
cofe.rocks,suspend,false,false,,false
cofeti.me,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
com.ai,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
comfysnug.space,suspend,false,false,,false
comm.cx,suspend,false,false,,false
comm.network,suspend,false,false,,false
community.halle-leaks.de,suspend,false,false,,false
community.highlandarrow.com,suspend,false,false,,false
computerhater.club,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
controverse.tube,suspend,false,false,,false
convo.casa,suspend,false,false,,false
coolsite.win,suspend,false,false,,false
coom.club,suspend,false,false,,false
counter.fedi.live,suspend,false,false,,false
counter.social,suspend,false,false,,false
cpluspatch.com,suspend,false,false,,false
creativeart.shop,suspend,false,false,,false
creativeart.work,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
cro.social,suspend,false,false,,false
crucible.world,suspend,false,false,,false
crunchywatch.uk,suspend,false,false,,false
cryo.icu,suspend,false,false,,false
crypt.lol,suspend,false,false,,false
cryptids.online,suspend,false,false,,false
cryptocartel.social,suspend,false,false,,false
cryptodon.lol,suspend,false,false,,false
cryptotalks.social,suspend,false,false,,false
cryptotooter.com,suspend,false,false,,false
csdisaster.club,suspend,false,false,,false
ctseuro.com,suspend,false,false,,false
cubhub.social,silence,false,false,,false
cultofshiv.wtf,silence,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cumallover.me,suspend,false,false,,false
cunny.finance,suspend,false,false,,false
cuteposting.institute,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cybercrusade.xyz,suspend,false,false,,false
cyberfuck.club,suspend,false,false,,false
cyberretards.xyz,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
cybre.club,suspend,false,false,,false
cyzed.com,suspend,false,false,,false
d2l.masto.host,suspend,false,false,,false
daffodil-11.org,suspend,false,false,,false
daishouri.moe,suspend,false,false,,false
danksquad.xyz,suspend,false,false,,false
dark-alexandr.net,suspend,false,false,,false
darknight-coffee.org,suspend,false,false,,false
darlow.co.uk,suspend,false,false,,false
dbuild.xyz,suspend,false,false,,false
dcomm.net.ua,suspend,false,false,,false
dd0s.lol,suspend,false,false,,false
deadsuperhero.com,suspend,false,false,,false
debilosempire.org,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
dece.space,suspend,false,false,,false
declin.eu,suspend,false,false,,false
deepnexus.link,suspend,false,false,,false
deepweb.eu,suspend,false,false,,false
definitely-not-archivefedifor.fun,suspend,false,false,,false
degenerates.fail,suspend,false,false,,false
degooglization.icu,suspend,false,false,,false
dekameta.com,suspend,false,false,,false
dekeyser.au,suspend,false,false,,false
desu.social,suspend,false,false,,false
desupost.soy,suspend,false,false,,false
desuposter.club,suspend,false,false,,false
det.social,silence,false,false,,false
detroitriotcity.com,suspend,false,false,,false
dev.civiq.social,suspend,false,false,,false
develop.gab.com,suspend,false,false,,false
devin.masto.host,suspend,false,false,,false
devouredbyverm.in,suspend,false,false,,false
diaspodon.fr,suspend,false,false,,false
diaspsocial.com,suspend,false,false,,false
dickkickextremist.xyz,suspend,false,false,,false
digitalmarketer.social,suspend,false,false,,false
dingdash.com,suspend,false,false,,false
dirtyhobby.xyz,suspend,false,false,,false
disarray.nof.st,suspend,false,false,,false
disqordia.space,suspend,false,false,,false
disroot.org,suspend,false,false,,false
distrotoot.com,suspend,false,false,,false
djitter.com,suspend,false,false,,false
djsumdog.com,suspend,false,false,,false
dline.xyz,suspend,false,false,,false
dobbs.town,suspend,false,false,,false
doesnotexist.club,suspend,false,false,,false
doesnt.undo.it,suspend,false,false,,false
dogeposting.social,suspend,false,false,,false
don.bitma.st,suspend,false,false,,false
donotban.com,suspend,false,false,,false
donteatanimals.org,suspend,false,false,,false
dotnet00.dev,suspend,false,false,,false
dragon.style,suspend,false,false,,false
dragonpsi.xyz,suspend,false,false,,false
dresden.network,suspend,false,false,,false
drinkingatmy.computer,suspend,false,false,,false
drow.be,suspend,false,false,,false
drunkposter.club,suspend,false,false,,false
duckfriend.com,suspend,false,false,,false
durst.world,suspend,false,false,,false
dym.sh,suspend,false,false,,false
dystopian.space,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
ebin.club,suspend,false,false,,false
ediot.social,suspend,false,false,,false
eeeeeeeee.eu,suspend,false,false,,false
egi***.*ay,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eightpoint.app,suspend,false,false,,false
elekk.xyz,suspend,false,false,,false
elementality.org,suspend,false,false,,false
elfenban.de,suspend,false,false,,false
elves.forsale,suspend,false,false,,false
emacs.ch,silence,false,false,,false
emacsen.net,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
enes.lv,suspend,false,false,,false
enigmatic.observer,suspend,false,false,,false
enjoyer.network,suspend,false,false,,false
enovale.com,suspend,false,false,,false
entire.vc,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
equel.social,suspend,false,false,,false
eskimo.com,suspend,false,false,,false
esmailelbob.xyz,suspend,false,false,,false
est.social,silence,false,false,,false
etiketi.de,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
evilcyberhacker.net,suspend,false,false,,false
exited.eu,suspend,false,false,,false
explosion.party,suspend,false,false,,false
f.haeder.net,suspend,false,false,,false
faggot.zone,suspend,false,false,,false
fai.st,suspend,false,false,,false
fapsi.be,suspend,false,false,,false
fbxl.net,suspend,false,false,,false
fed.celp.de,suspend,false,false,,false
federate.hopto.org,suspend,false,false,,false
federate.social,suspend,false,false,,false
federated.fun,suspend,false,false,,false
federated.media,suspend,false,false,,false
fedi.absturztau.be,suspend,false,false,,false
fedi.app,suspend,false,false,,false
fedi.gealdor.space,suspend,false,false,,false
fedi.live,suspend,false,false,,false
fedi.plus.st,suspend,false,false,,false
fedi.tyil.nl,suspend,false,false,,false
fedi.valkyrie.world,suspend,false,false,,false
fedi.vern.cc,suspend,false,false,,false
fedi.z0ne.moe,suspend,false,false,,false
fedicy.allowed.org,suspend,false,false,,false
fediverse.me,suspend,false,false,,false
fediverse.pl,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
ffvo.dev,suspend,false,false,,false
ffxiv-mastodon.com,suspend,false,false,,false
fightthis.net,suspend,false,false,,false
firefaithfellowship.com,suspend,false,false,,false
firefish.social,suspend,false,false,,false
firemail.cc,suspend,false,false,,false
fishingblog.org,suspend,false,false,,false
fiume.club,suspend,false,false,,false
flauschig.social,suspend,false,false,,false
floppy.tokyo,suspend,false,false,,false
fluf.club,suspend,false,false,,false
fluffytail.org,suspend,false,false,,false
forum.decisiveliberty.news,suspend,false,false,,false
fosstodon.org,suspend,false,false,,false
fr13nd5.com,suspend,false,false,,false
francecatholique.net,suspend,false,false,,false
freak.university,suspend,false,false,,false
freeatlantis.com,suspend,false,false,,false
freecumextremist.com,suspend,false,false,,false
freedomofpress.rocks,suspend,false,false,,false
freemyip.com,suspend,false,false,,false
freesoftwareextremist.com,suspend,false,false,,false
freespeech.firedragonstudios.com,suspend,false,false,,false
freespeech.group,suspend,false,false,,false
freespeech.host,suspend,false,false,,false
freespeech.icu,suspend,false,false,,false
freespeech.institute,suspend,false,false,,false
freespeechextreme.com,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
freethinkers.lgbt,suspend,false,false,,false
freevoice.space,suspend,false,false,,false
freewahaextremist.wtf,suspend,false,false,,false
freezepeach.xyz,suspend,false,false,,false
frennet.link,suspend,false,false,,false
frennet.xyz,suspend,false,false,,false
freyachat.eu,suspend,false,false,,false
fribygda.no,suspend,false,false,,false
friends.deko.cloud,suspend,false,false,,false
friends.nico,suspend,false,false,,false
frog.fashion,suspend,false,false,,false
froth.zone,suspend,false,false,,false
fsmi.social,suspend,false,false,,false
fuck-man-i-just-want-like-one-friend.xyz,suspend,false,false,,false
fuckonthefirst.date,suspend,false,false,,false
fulltermprivacy.com,suspend,false,false,,false
functor.pro,suspend,false,false,,false
furcel.club,suspend,false,false,,false
furfag.de,suspend,false,false,,false
furry.engineer,silence,false,false,,false
furry.lgbt,suspend,false,false,,false
futomomo.life,suspend,false,false,,false
fuwa.pink,suspend,false,false,,false
fybuk.com,suspend,false,false,,false
g3l.org,suspend,false,false,,false
gab.ai,suspend,false,false,,false
gab.best,suspend,false,false,,false
gab.com,suspend,false,false,,false
gab.io,suspend,false,false,,false
gab.polaris-1.work,suspend,false,false,,false
gab.protohype.net,suspend,false,false,,false
gab.sleeck.eu,suspend,false,false,,false
gabble.xyz,suspend,false,false,,false
gabeappleton.me,suspend,false,false,,false
gabfed.com,suspend,false,false,,false
gabhub.protohype.net,suspend,false,false,,false
gamedev.place,suspend,false,false,,false
gameliberty.club,suspend,false,false,,false
gamers.exposed,suspend,false,false,,false
gangstalking.services,suspend,false,false,,false
gasthe.lgbt,suspend,false,false,,false
gay.nsfw.onl,silence,false,false,,false
gearlandia.haus,suspend,false,false,,false
gecekafasi.com,suspend,false,false,,false
gegenstimme.tv,suspend,false,false,,false
gendercritical.club,suspend,false,false,,false
gendercritical.space,suspend,false,false,,false
genderheretics.xyz,suspend,false,false,,false
genitalia.observer,suspend,false,false,,false
gensokyo.club,suspend,false,false,,false
gentoo.live,suspend,false,false,,false
geofront.rocks,suspend,false,false,,false
getbackinthe.kitchen,suspend,false,false,,false
getcoin.nu,suspend,false,false,,false
getgle.org,suspend,false,false,,false
getindor.com,suspend,false,false,,false
girevik.su,suspend,false,false,,false
girlslove.pink,suspend,false,false,,false
gitmo.life,suspend,false,false,,false
gladtech.social,suspend,false,false,,false
gleasonator.com,suspend,false,false,,false
gleasonator.dev,suspend,false,false,,false
glee.li,suspend,false,false,,false
glindr.org,suspend,false,false,,false
glowers.club,suspend,false,false,,false
gnosis.systems,suspend,false,false,,false
gnusocial.ch,suspend,false,false,,false
gnusocial.club,suspend,false,false,,false
gnusocial.no,suspend,false,false,,false
goat.si,suspend,false,false,,false
godspeed.moe,suspend,false,false,,false
goldandblack.xyz,suspend,false,false,,false
goneaway.social,suspend,false,false,,false
gorf.club,suspend,false,false,,false
gorf.pub,suspend,false,false,,false
gorf.space,suspend,false,false,,false
goyim.app,suspend,false,false,,false
graeber.social,suspend,false,false,,false
grants.cafe,suspend,false,false,,false
graz.social,suspend,false,false,,false
greenish.red,suspend,false,false,,false
greenlifeplus.net,suspend,false,false,,false
gretaoto.ca,suspend,false,false,,false
grim.social,suspend,false,false,,false
groyp.xyz,suspend,false,false,,false
grumpys.online,suspend,false,false,,false
gs.archae.me,suspend,false,false,,false
gs.kawa-kun.com,suspend,false,false,,false
gs.m0n5t3r.info,suspend,false,false,,false
gs.mon5t3r.info,suspend,false,false,,false
gs.smuglo.li,suspend,false,false,,false
gulp.cafe,suspend,false,false,,false
gymnastodon.com,suspend,false,false,,false
h5q.net,suspend,false,false,,false
