#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
076.ne.jp,suspend,false,false,,false
0chan.ru,suspend,false,false,,false
101010.pl,suspend,false,false,,false
10minutepleroma.com,suspend,false,false,,false
129.159.139.0,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1745.info,suspend,false,false,,false
1984.cz,suspend,false,false,,false
1being.org,suspend,false,false,,false
23.95.115.204,suspend,false,false,,false
3zi.ru,suspend,false,false,,false
448c.net,suspend,false,false,,false
4aem.com,suspend,false,false,,false
4chan.icu,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
7td.org,suspend,false,false,,false
80percent.social,suspend,false,false,,false
829.hu,suspend,false,false,,false
8777.ch,suspend,false,false,,false
a.sc,suspend,false,false,,false
abraham.su,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
acu.lt,suspend,false,false,,false
adachi.party,suspend,false,false,,false
addy.gg,suspend,false,false,,false
adhd.stream,suspend,false,false,,false
aethy.com,suspend,false,false,,false
affiliates.social,suspend,false,false,,false
agates.io,suspend,false,false,,false
agdersam.no,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
aillust.fun,suspend,false,false,,false
alfter.us,suspend,false,false,,false
alive.bar,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
alphasoft.org,suspend,false,false,,false
alteregocreations.com,suspend,false,false,,false
amazonaws.com,suspend,false,false,,false
ams3-03.smarterliving.nl,suspend,false,false,,false
anancus.fr,suspend,false,false,,false
ancreport.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
angry.im,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
animalliberation.social,suspend,false,false,,false
anime.website,suspend,false,false,,false
animesexual.community,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
anthro.cc,suspend,false,false,,false
anti-degeneracy.club,suspend,false,false,,false
anticom.world,suspend,false,false,,false
antivaxxer.icu,suspend,false,false,,false
aoq.me,suspend,false,false,,false
apathy.tv,suspend,false,false,,false
app.github.dev,suspend,false,false,,false
arachnid.town,suspend,false,false,,false
arasaka.vip,suspend,false,false,,false
aria.company,suspend,false,false,,false
arumoon.ru,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
asdgsadga.social,suspend,false,false,,false
asimon.org,suspend,false,false,,false
asphodel.rip,suspend,false,false,,false
assortedflotsam.com,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
autism.zone,suspend,false,false,,false
awoo.fyi,suspend,false,false,,false
awootism.club,suspend,false,false,,false
awwter.online,suspend,false,false,,false
b.booots.tech,suspend,false,false,,false
b10m.net,suspend,false,false,,false
babay.icu,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
bahnhof.cz,suspend,false,false,,false
bajax.us,suspend,false,false,,false
banepo.st,suspend,false,false,,false
banned.cafe,suspend,false,false,,false
baraag.net,suspend,false,false,,false
based.directory,suspend,false,false,,false
basedcount.com,suspend,false,false,,false
bassam.social,suspend,false,false,,false
battlepenguin.video,suspend,false,false,,false
bbad.com,suspend,false,false,,false
bearbirdsite.sicem.social,suspend,false,false,,false
bearygoosey.com,suspend,false,false,,false
beckmeyer.us,suspend,false,false,,false
beefyboys.club,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beepboop.ga,suspend,false,false,,false
berserker.town,suspend,false,false,,false
best-friends.chat,suspend,false,false,,false
bestgore.fun,suspend,false,false,,false
beta.mstdn.cf,suspend,false,false,,false
bgzashtita.es,suspend,false,false,,false
bibly.com,suspend,false,false,,false
bida.im,suspend,false,false,,false
bien-etre.social,suspend,false,false,,false
biendeo.com,suspend,false,false,,false
bigrelay.social,suspend,false,false,,false
bigzu.cc,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
birb.byte.wtf,suspend,false,false,,false
birb.redra1n.net,suspend,false,false,,false
birb.stream,suspend,false,false,,false
birbber.hotfemboy.pics,suspend,false,false,,false
bird.chauvet.pro,suspend,false,false,,false
bird.docmeth02.host,suspend,false,false,,false
bird.evilcyberhacker.net,suspend,false,false,,false
bird.geiger.ee,suspend,false,false,,false
bird.gensokyo.info,suspend,false,false,,false
bird.granford.uk,suspend,false,false,,false
bird.hock.one,suspend,false,false,,false
bird.im-in.space,suspend,false,false,,false
bird.istheguy.com,suspend,false,false,,false
bird.karatek.net,suspend,false,false,,false
bird.kuendig.io,suspend,false,false,,false
bird.lummerland.ddnss.de,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
bird.makeup.hwarf.com,suspend,false,false,,false
bird.neolyum.de,suspend,false,false,,false
bird.r669.live,suspend,false,false,,false
bird.seafoam.space,suspend,false,false,,false
bird.shitposted.today,suspend,false,false,,false
bird.tracto.pl,suspend,false,false,,false
bird.waffles.fun,suspend,false,false,,false
bird.xtra.nu,suspend,false,false,,false
bird.zerojay.com,suspend,false,false,,false
bird.zvo.io,suspend,false,false,,false
birdbots.leptonics.com,suspend,false,false,,false
birdlive.grupotd.nat.cu,suspend,false,false,,false
birdmakeup.opiumpost.org,suspend,false,false,,false
birds.garden,suspend,false,false,,false
birdsite.am-institute.swiss,suspend,false,false,,false
birdsite.archybold.com,suspend,false,false,,false
birdsite.axeleroy.com,suspend,false,false,,false
birdsite.b93.dece.space,suspend,false,false,,false
birdsite.blahaj.social,suspend,false,false,,false
birdsite.blazelight.dev,suspend,false,false,,false
birdsite.cbruegg.com,suspend,false,false,,false
birdsite.centennial.root.sx,suspend,false,false,,false
birdsite.cloutier.co,suspend,false,false,,false
birdsite.csachweh.de,suspend,false,false,,false
birdsite.darkesttimeline.social,suspend,false,false,,false
birdsite.datboi.network,suspend,false,false,,false
birdsite.davinkevin.fr,suspend,false,false,,false
birdsite.falkensweb.com,suspend,false,false,,false
birdsite.felixmueller.cloud,suspend,false,false,,false
birdsite.frog.fashion,suspend,false,false,,false
birdsite.gabeappleton.me,suspend,false,false,,false
birdsite.gnyo.org,suspend,false,false,,false
birdsite.gred.al,suspend,false,false,,false
birdsite.gxvwb.dev,suspend,false,false,,false
birdsite.hexix.de,suspend,false,false,,false
birdsite.hwarf.com,suspend,false,false,,false
birdsite.ingwie.me,suspend,false,false,,false
birdsite.intra.kaijauch.de,suspend,false,false,,false
birdsite.james.moody.name,suspend,false,false,,false
birdsite.jupiterslanding.social,suspend,false,false,,false
birdsite.k-fortytwo.de,suspend,false,false,,false
birdsite.kaijauch.de,suspend,false,false,,false
birdsite.kohl.dev,suspend,false,false,,false
birdsite.koyu.space,suspend,false,false,,false
birdsite.lakedrops.com,suspend,false,false,,false
birdsite.link,suspend,false,false,,false
birdsite.lipsia.casa,suspend,false,false,,false
birdsite.live,suspend,false,false,,false
birdsite.lluni.de,suspend,false,false,,false
birdsite.marschik.me,suspend,false,false,,false
birdsite.mastodon.land,suspend,false,false,,false
birdsite.mastodon.me.uk,suspend,false,false,,false
birdsite.miisu.net,suspend,false,false,,false
birdsite.monster,suspend,false,false,,false
birdsite.nickurak.ca,suspend,false,false,,false
birdsite.noitl.space,suspend,false,false,,false
birdsite.nytpu.com,suspend,false,false,,false
birdsite.oliviaappleton.com,suspend,false,false,,false
birdsite.otmns.net,suspend,false,false,,false
birdsite.outadoc.fr,suspend,false,false,,false
birdsite.personally.tech,suspend,false,false,,false
birdsite.platypush.tech,suspend,false,false,,false
birdsite.rap.social,suspend,false,false,,false
birdsite.schafscheiss.com,suspend,false,false,,false
birdsite.seejy.ninja,suspend,false,false,,false
birdsite.slashdev.space,suspend,false,false,,false
birdsite.spectreos.de,suspend,false,false,,false
birdsite.tableflip.zone,suspend,false,false,,false
birdsite.tcjc.uk,suspend,false,false,,false
birdsite.tedandrachel.com,suspend,false,false,,false
birdsite.thorlaksson.com,suspend,false,false,,false
birdsite.toot.si,suspend,false,false,,false
birdsite.vish.link,suspend,false,false,,false
birdsite.vrparty.social,suspend,false,false,,false
birdsite.weiranzhang.com,suspend,false,false,,false
birdsite.wilde.cloud,suspend,false,false,,false
birdsitelive.angrydome.au,suspend,false,false,,false
birdsitelive.baguette-it.social,suspend,false,false,,false
birdsitelive.bubbletea.dev,suspend,false,false,,false
birdsitelive.chatty.monster,suspend,false,false,,false
birdsitelive.codingneko.com,suspend,false,false,,false
birdsitelive.falschgold.net,suspend,false,false,,false
birdsitelive.ffvo.dev,suspend,false,false,,false
birdsitelive.janngobble.synology.me,suspend,false,false,,false
birdsitelive.kevinyank.com,suspend,false,false,,false
birdsitelive.laski.app,suspend,false,false,,false
birdsitelive.leonardwong.tech,suspend,false,false,,false
birdsitelive.loca.lt,suspend,false,false,,false
