#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.ne.jp,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
a.sc,suspend,false,false,,false
absturztau.be,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
aethy.com,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
berserker.town,suspend,false,false,,false
bikeshed.party,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
blob.cat,suspend,false,false,,false
boks.moe,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
bubbletea.dev,suspend,false,false,,false
bungle.online,suspend,false,false,,false
calobar.club,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
clew.lol,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
crucible.world,suspend,false,false,,false
cryptodon.lol,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
fbxl.net,suspend,false,false,,false
federated.fun,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
fightthis.net,suspend,false,false,,false
fluf.club,suspend,false,false,,false
freak.university,suspend,false,false,,false
freeatlantis.com,suspend,false,false,,false
freecumextremist.com,suspend,false,false,,false
freesoftwareextremist.com,suspend,false,false,,false
freespeech.group,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
freetalklive.com,suspend,false,false,,false
freethinkers.lgbt,suspend,false,false,,false
frennet.xyz,suspend,false,false,,false
froth.zone,suspend,false,false,,false
gameliberty.club,suspend,false,false,,false
gearlandia.haus,suspend,false,false,,false
genderheretics.xyz,suspend,false,false,,false
gensokyo.club,suspend,false,false,,false
geofront.rocks,suspend,false,false,,false
gleasonator.com,suspend,false,false,,false
glee.li,suspend,false,false,,false
h5q.net,suspend,false,false,,false
handholding.io,suspend,false,false,,false
hentai.baby,suspend,false,false,,false
hidamari.apartments,suspend,false,false,,false
hitchhiker.social,suspend,false,false,,false
homd.xyz,suspend,false,false,,false
husk.site,suspend,false,false,,false
iddqd.social,suspend,false,false,,false
ignorelist.com,suspend,false,false,,false
imirhil.fr,suspend,false,false,,false
intkos.link,suspend,false,false,,false
kawa-kun.com,suspend,false,false,,false
kitsunemimi.club,suspend,false,false,,false
kiwifarms.cc,suspend,false,false,,false
kompost.cz,suspend,false,false,,false
kurosawa.moe,suspend,false,false,,false
leafposter.club,suspend,false,false,,false
letsalllovela.in,suspend,false,false,,false
lewdieheaven.com,suspend,false,false,,false
ligma.pro,suspend,false,false,,false
lizards.live,suspend,false,false,,false
lolicon.rocks,suspend,false,false,,false
lolison.network,suspend,false,false,,false
lolison.top,suspend,false,false,,false
lovingexpressions.net,suspend,false,false,,false
mahodou.moe,suspend,false,false,,false
mapsupport.de,suspend,false,false,,false
marsey.moe,suspend,false,false,,false
masochi.st,suspend,false,false,,false
mastertibbles.co.uk,suspend,false,false,,false
mastinator.com,suspend,false,false,,false
mastodong.lol,suspend,false,false,,false
merovingian.club,suspend,false,false,,false
midwaytrades.com,suspend,false,false,,false
