#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
101010.pl,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1745.info,suspend,false,false,,false
4aem.com,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
80percent.social,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adtension.com,suspend,false,false,,false
aethy.com,suspend,false,false,,false
akm.longyap.name.my,suspend,false,false,,false
alderit.com,suspend,false,false,,false
alteregocreations.com,suspend,false,false,,false
ams3-03.smarterliving.nl,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
archivefedifor.fun,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
aspiechattr.me,silence,false,false,,false
asteroidm.space,suspend,false,false,,false
bae.st,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
bassam.social,suspend,false,false,,false
bearbirdsite.sicem.social,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beta.birdsite.live,suspend,false,false,,false
beta.mstdn.cf,suspend,false,false,,false
bibly.com,suspend,false,false,,false
biendeo.com,suspend,false,false,,false
birb.byte.wtf,silence,false,false,,false
birb.elfenban.de,suspend,false,false,,false
birb.redra1n.net,suspend,false,false,,false
birb.stream,suspend,false,false,,false
birbber.hotfemboy.pics,suspend,false,false,,false
bird.chauvet.pro,suspend,false,false,,false
bird.evilcyberhacker.net,suspend,false,false,,false
bird.froth.zone,suspend,false,false,,false
bird.geiger.ee,suspend,false,false,,false
bird.gensokyo.info,suspend,false,false,,false
bird.granford.uk,suspend,false,false,,false
bird.hock.one,suspend,false,false,,false
bird.im-in.space,suspend,false,false,,false
bird.istheguy.com,suspend,false,false,,false
bird.karatek.net,suspend,false,false,,false
bird.kuendig.io,suspend,false,false,,false
bird.makeup,suspend,false,false,,false
bird.nzbr.de,suspend,false,false,,false
bird.r669.live,suspend,false,false,,false
bird.seafoam.space,suspend,false,false,,false
birdbots.leptonics.com,suspend,false,false,,false
birdity.club,silence,false,false,,false
birds.im-in.space,suspend,false,false,,false
birdsite.blazelight.dev,suspend,false,false,,false
birdsite.cloutier.co,suspend,false,false,,false
birdsite.darkesttimeline.social,suspend,false,false,,false
birdsite.frog.fashion,suspend,false,false,,false
birdsite.james.moody.name,suspend,false,false,,false
birdsite.lakedrops.com,suspend,false,false,,false
birdsite.link,suspend,false,false,,false
birdsite.monster,suspend,false,false,,false
birdsite.nytpu.com,suspend,false,false,,false
birdsite.platypush.tech,suspend,false,false,,false
birdsite.slashdev.space,suspend,false,false,,false
birdsite.tcjc.uk,suspend,false,false,,false
birdsite.thorlaksson.com,suspend,false,false,,false
birdsite.toot.si,suspend,false,false,,false
birdsite.vrparty.social,suspend,false,false,,false
birdsite.wilde.cloud,suspend,false,false,,false
birdsitelive.moistgarbage.info,suspend,false,false,,false
birdsitelive.treffler.cloud,suspend,false,false,,false
bitcoinhackers.org,silence,false,false,,false
blockedur.mom,suspend,false,false,,false
bofh.social,suspend,false,false,,false
boks.moe,suspend,false,false,,false
boymoder.biz,suspend,false,false,,false
boyter.org,suspend,false,false,,false
brainsoap.net,suspend,false,false,,false
brapbarn.farm,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
bsl.sid500.com,suspend,false,false,,false
bsl.tuxz.one,suspend,false,false,,false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,,false
bussy.monster,suspend,false,false,,false
cachapa.moe,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
calobar.club,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
chamba.social,suspend,false,false,,false
cheeseburger.social,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chudbuds.org,suspend,false,false,,false
circlebasti.at,suspend,false,false,,false
clew.lol,suspend,false,false,,false
cloudisland.online,suspend,false,false,,false
cockw*********.com,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
coolsite.win,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
danksquad.org,suspend,false,false,,false
darknight-coffee.org,suspend,false,false,,false
daspr.io,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
decept.org,suspend,false,false,,false
declin.eu,suspend,false,false,,false
demb****.xyz,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
dev-wiki.de,suspend,false,false,,false
devs.live,silence,false,false,,false
diamondelizaa.com,suspend,false,false,,false
dingdash.com,suspend,false,false,,false
dirtyhobby.xyz,silence,false,false,,false
dissident.business,suspend,false,false,,false
dixies.land,suspend,false,false,,false
dogsex.org,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
echelon.pl,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eigh******.app,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
esmailelbob.xyz,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
expression.social,suspend,false,false,,false
f.ckpg.space,suspend,false,false,,false
f.haeder.net,suspend,false,false,,false
fed.calp.de,suspend,false,false,,false
federated.fun,suspend,false,false,,false
fedi.pawlicker.com,suspend,false,false,,false
fedposters.club,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
firebird.mullet.social,suspend,false,false,,false
firefaithfellowship.com,suspend,false,false,,false
freak.university,suspend,false,false,,false
freedomstrike.net,suspend,false,false,,false
freefedifollowers.ga,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
freezepeach.online,suspend,false,false,,false
freezepeach.xyz,suspend,false,false,,false
froth.zone,silence,false,false,,false
fulltermprivacy.com,suspend,false,false,,false
gab.ai,suspend,false,false,,false
gab.com,suspend,false,false,,false
gabe.rocks,suspend,false,false,,false
gameliberty.club,suspend,false,false,,false
gangstalking.services,suspend,false,false,,false
gasthe.lgbt,suspend,false,false,,false
genderheretics.xyz,suspend,false,false,,false
gentoo.live,silence,false,false,,false
geofront.rocks,suspend,false,false,,false
ghetti.monster,suspend,false,false,,false
gleasonator.com,suspend,false,false,,false
gnuhacker.org,suspend,false,false,,false
hallertau.social,suspend,false,false,,false
hentai.baby,suspend,false,false,,false
hirad.it,suspend,false,false,,false
hoto.rocks,suspend,false,false,,false
ignorelist.com,suspend,false,false,,false
ihate******.live,suspend,false,false,,false
illegi******.*****ology,suspend,false,false,,false
imi****.fr,suspend,false,false,,false
instinctd.com,suspend,false,false,,false
ironbug.org,suspend,false,false,,false
kansanvalta.org,suspend,false,false,,false
kar*.**ru,suspend,false,false,,false
kazar.ma,suspend,false,false,,false
kazv.moe,suspend,false,false,,false
kiwifarms.cc,suspend,false,false,,false
kiwifarms.is,suspend,false,false,,false
kiwifarms.net,suspend,false,false,,false
lambright.com,suspend,false,false,,false
leftlibertarian.club,suspend,false,false,,false
letsalllovela.in,suspend,false,false,,false
lewdie.heaven,suspend,false,false,,false
lgbtfree.zone,suspend,false,false,,false
librenet.co.za,suspend,false,false,,false
libtar.de,suspend,false,false,,false
localtunnel.me,suspend,false,false,,false
logo******.com,suspend,false,false,,false
loli.best,suspend,false,false,,false
loli.foundation,suspend,false,false,,false
lolison.network,suspend,false,false,,false
lolison.top,suspend,false,false,,false
loveforlandlords.com,suspend,false,false,,false
mapsupport.club,suspend,false,false,,false
mapsupport.de,suspend,false,false,,false
masochi.st,suspend,false,false,,false
mastertibbles.co.uk,suspend,false,false,,false
mastinator.com,suspend,false,false,,false
mastindia.co,suspend,false,false,,false
mastodon.cf,suspend,false,false,,false
mastodon.se,silence,false,false,,false
mastodon.top,silence,false,false,,false
masturbated.one,suspend,false,false,,false
meatbag.app,suspend,false,false,,false
merovingian.club,suspend,false,false,,false
minidisc.tokyo,suspend,false,false,,false
mirr0r.city,suspend,false,false,,false
misogyni.st,suspend,false,false,,false
misskey-forkbomb,suspend,false,false,,false
moa.st,suspend,false,false,,false
monads.online,silence,false,false,,false
morepablo.com,suspend,false,false,,false
mostr.pub,suspend,false,false,,false
mstdn.jp,silence,false,false,,false
mugicha.club,suspend,false,false,,false
nafo.uk,silence,false,false,,false
nalocal519.social,suspend,false,false,,false
nangang.travnewmatic.com,suspend,false,false,,false
narrativerry.xyz,suspend,false,false,,false
natehiggers.online,suspend,false,false,,false
nationaljustice.social,suspend,false,false,,false
nazi.social,suspend,false,false,,false
neckbeard.xyz,suspend,false,false,,false
nekocave.xyz,suspend,false,false,,false
news.ongii.com,silence,false,false,,false
news.twtr.plus,suspend,false,false,,false
newsie.social,silence,false,false,,false
ngrok.io,suspend,false,false,,false
nicecrew.digital,suspend,false,false,,false
niscii.xyz,silence,false,false,,false
nixnet.services,suspend,false,false,,false
nnia.space,suspend,false,false,,false
noagendasocial.com,suspend,false,false,,false
noagendasocial.nl,suspend,false,false,,false
nopasaran.red,silence,false,false,,false
normie.cafe,suspend,false,false,,false
notbird.site,suspend,false,false,,false
nukem.biz,suspend,false,false,,false
obo.sh,suspend,false,false,,false
onionfarms.org,suspend,false,false,,false
ortodogs.info,suspend,false,false,,false
otakufarms.com,suspend,false,false,,false
oute*****.us,suspend,false,false,,false
outpoa.st,suspend,false,false,,false
patriot.online,suspend,false,false,,false
pawoo.net,suspend,false,false,,false
pedo.school,suspend,false,false,,false
pibvt.net,suspend,false,false,,false
pieville.net,suspend,false,false,,false
pirateradio.social,suspend,false,false,,false
pis****.io,silence,false,false,,false
pizzaf.art,suspend,false,false,,false
pl.kitsunemimi.club,suspend,false,false,,false
pl.valkyrie.world,suspend,false,false,,false
pleroma.karjalazet.se,suspend,false,false,,false
pleroma.kiwifarms.net,suspend,false,false,,false
poa.st,suspend,false,false,,false
poast.eth,suspend,false,false,,false
poast.org,suspend,false,false,,false
poast.tv,suspend,false,false,,false
porntoot.com,silence,false,false,,false
poster.place,suspend,false,false,,false
posting.lolicon.rocks,suspend,false,false,,false
poweredbycocaine.com,suspend,false,false,,false
press.coop,suspend,false,false,,false
prospeech.space,suspend,false,false,,false
psion.co,suspend,false,false,,false
pso.li,suspend,false,false,,false
qoto.org,silence,false,false,,false
quanta.wiki,suspend,false,false,,false
quorum.inumbra.xyz,suspend,false,false,,false
r18.social,suspend,false,false,,false
rapefe*******.**twork,suspend,false,false,,false
rapem***.*****ions,suspend,false,false,,false
rayci.st,suspend,false,false,,false
rcsocial.net,silence,false,false,,false
real.dogsex.org,suspend,false,false,,false
rebelbase.site,suspend,false,false,,false
redpill-insight.com,suspend,false,false,,false
refusal.llc,suspend,false,false,,false
remnant.social,suspend,false,false,,false
repl.co,suspend,false,false,,false
republic.red,suspend,false,false,,false
respublicae.eu,suspend,false,false,,false
rio.social,suspend,false,false,,false
rodent.life,suspend,false,false,,false
rojogato.com,suspend,false,false,,false
rot.gives,suspend,false,false,,false
roysbeer.place,suspend,false,false,,false
ruinouspowe.rs,suspend,false,false,,false
ryona.agency,suspend,false,false,,false
satoshishop.de,suspend,false,false,,false
saynoto.lgbt,suspend,false,false,,false
scots.network,suspend,false,false,,false
seal.cafe,suspend,false,false,,false
sealion.club,suspend,false,false,,false
secluded.site,suspend,false,false,,false
seikora.one,suspend,false,false,,false
seo.chat,silence,false,false,,false
seriousbusiness.international,suspend,false,false,,false
servernerds.net,suspend,false,false,,false
shadowsocial.org,suspend,false,false,,false
sharivegas.com,suspend,false,false,,false
sheep.network,suspend,false,false,,false
shitpost.cloud,suspend,false,false,,false
shitposter.club,suspend,false,false,,false
shota.house,suspend,false,false,,false
shota.land,suspend,false,false,,false
shota.nu,suspend,false,false,,false
shota.pe,suspend,false,false,,false
shota.social,suspend,false,false,,false
shrimpposter.club,suspend,false,false,,false
silliness.observer,suspend,false,false,,false
skinheads.eu,suspend,false,false,,false
skinheads.io,suspend,false,false,,false
skinheads.social,suspend,false,false,,false
skinheads.uk,suspend,false,false,,false
sleepy.cafe,suspend,false,false,,false
sleepy.place,silence,false,false,,false
slippy.xyz,suspend,false,false,,false
sneed.social,suspend,false,false,,false
soc.ua-fediland.de,suspend,false,false,,false
social.freetalklive.com,suspend,false,false,,false
social.lovingexpressions.net,suspend,false,false,,false
social.shrimpcam.pw,suspend,false,false,,false
social.urspringer.de,silence,false,false,,false
speakfree.world,suspend,false,false,,false
sperg.city,suspend,false,false,,false
spinster.xyz,suspend,false,false,,false
springbo.cc,suspend,false,false,,false
squid.kids,suspend,false,false,,false
stars.eroaward.com,silence,false,false,,false
stormcloak.info,suspend,false,false,,false
susmaninsurance.com,silence,false,false,,false
takesama.com,suspend,false,false,,false
talk-here.com,suspend,false,false,,false
taullo.social,suspend,false,false,,false
terrible.place,suspend,false,false,,false
thechad.zone,suspend,false,false,,false
thechimp.zone,suspend,false,false,,false
thepostearthdestination.com,suspend,false,false,,false
tokhmi.xyz,suspend,false,false,,false
toot.pt,suspend,false,false,,false
troll.cafe,suspend,false,false,,false
trumpislovetrumpis.life,suspend,false,false,,false
truthsocial.co.in,suspend,false,false,,false
truthsocial.com,suspend,false,false,,false
truthsocialpro.org,suspend,false,false,,false
tsu****.me,suspend,false,false,,false
tube.kansanvalta.org,suspend,false,false,,false
tweet.pasture.moe,suspend,false,false,,false
tweetbridge.kogasa.de,suspend,false,false,,false
tweets.icu,suspend,false,false,,false
twitiverse.com,suspend,false,false,,false
twitter.1d4.us,suspend,false,false,,false
twitter.activitypub.actor,suspend,false,false,,false
twitter.doesnotexist.club,suspend,false,false,,false
twitter.grants.cafe,suspend,false,false,,false
twtr.carnivore.social,suspend,false,false,,false
twtr.disqordia.space,suspend,false,false,,false
twtr.plus,suspend,false,false,,false
twtr.vrij.social,suspend,false,false,,false
ua-fediland.de,suspend,false,false,,false
unperson.us,suspend,false,false,,false
unsafe.space,suspend,false,false,,false
ura-mstdn.com,suspend,false,false,,false
urchan.org,suspend,false,false,,false
varishangout.net,suspend,false,false,,false
vfpmedia.com,suspend,false,false,,false
violence.church,suspend,false,false,,false
vtweet.live,suspend,false,false,,false
