#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
076.ne.jp,suspend,false,false,,false
0x68756773.moe,suspend,false,false,,false
101010.pl,suspend,false,false,,false
10minutepleroma.com,suspend,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
1745.info,suspend,false,false,,false
2ar.xyz,suspend,false,false,,false
434.earth,suspend,false,false,,false
4aem.com,suspend,false,false,,false
4qq.org,suspend,false,false,,false
7td.org,suspend,false,false,,false
80percent.social,suspend,false,false,,false
8777.ch,suspend,false,false,,false
a.nti.social,suspend,false,false,,false
absturztau.be,silence,false,false,,false
activism.openworlds.info,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
adtension.com,suspend,false,false,,false
aethy.com,suspend,false,false,,false
afd.best,suspend,false,false,,false
affiliates.social,suspend,false,false,,false
agdersam.no,suspend,false,false,,false
aguiarvieira.pt,suspend,false,false,,false
ai.wiki,suspend,false,false,,false
ai8w.ddns.net,suspend,false,false,,false
aipub.social,suspend,false,false,,false
alaska.community,suspend,false,false,,false
albin.social,suspend,false,false,,false
alpaca.gold,suspend,false,false,,false
anakut.org,suspend,false,false,,false
ancreport.com,suspend,false,false,,false
anemoneya.me,suspend,false,false,,false
animalliberation.social,suspend,false,false,,false
anime.website,suspend,false,false,,false
animesexual.community,suspend,false,false,,false
anitwitter.moe,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
anthro.cc,suspend,false,false,,false
anti-degeneracy.club,suspend,false,false,,false
antivaxxer.icu,suspend,false,false,,false
ap.capslock.dev,suspend,false,false,,false
ap.manji.dev,suspend,false,false,,false
ap.space-over-the.space,suspend,false,false,,false
ap.taiki.net,suspend,false,false,,false
arachnid.town,silence,false,false,,false
archivefedifor.fun,suspend,false,false,,false
aria.company,suspend,false,false,,false
armstube.com,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
aspiechattr.me,silence,false,false,,false
aspirant.de,suspend,false,false,,false
atomicblon.de,suspend,false,false,,false
atyh.cc,suspend,false,false,,false
autizmo.xyz,suspend,false,false,,false
awoo.fyi,silence,false,false,,false
azumanga.gay,silence,false,false,,false
badly.co,suspend,false,false,,false
bae.st,suspend,false,false,,false
bajax.us,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
based.directory,suspend,false,false,,false
bassam.social,suspend,false,false,,false
battlepenguin.video,suspend,false,false,,false
bearygoosey.com,suspend,false,false,,false
beaware.live,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
beehub.org,suspend,false,false,,false
beest.hinasense.jp,suspend,false,false,,false
berserker.town,suspend,false,false,,false
bgp.social,suspend,false,false,,false
bgzashtita.es,suspend,false,false,,false
bida.im,silence,false,false,,false
bikeshed.party,suspend,false,false,,false
binarydad.com,suspend,false,false,,false
bitacadie.com,silence,false,false,,false
bitcoinhackers.org,suspend,false,false,,false
bitcointv.com,suspend,false,false,,false
bittube.video,suspend,false,false,,false
bkryer.com,suspend,false,false,,false
blackoutstout.space,suspend,false,false,,false
blob.cat,suspend,false,false,,false
blockedur.mom,suspend,false,false,,false
blovice.bahnhof.cz,suspend,false,false,,false
bodybuilding.im,suspend,false,false,,false
boks.moe,suspend,false,false,,false
bolha.one,silence,false,false,,false
bolha.us,silence,false,false,,false
boobytooth.social,suspend,false,false,,false
boomer.website,suspend,false,false,,false
boseburo.ddns.net,suspend,false,false,,false
boyter.org,silence,false,false,,false
brainsoap.net,suspend,false,false,,false
brapbarn.farm,suspend,false,false,,false
brasileiros.social,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
brotka.st,suspend,false,false,,false
bruh.social,suspend,false,false,,false
buckeye.social,suspend,false,false,,false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,,false
bungle.online,suspend,false,false,,false
burggit.moe,suspend,false,false,,false
busshi.moe,suspend,false,false,,false
bussy.monster,suspend,false,false,,false
bwzone.xyz,suspend,false,false,,false
bylines.social,silence,false,false,,false
c.im,silence,false,false,,false
cachapa.xyz,suspend,false,false,,false
calckey.cloud,suspend,false,false,,false
calckey.social,suspend,false,false,,false
campduffel.social,suspend,false,false,,false
canberrasocial.net,suspend,false,false,,false
carnal-gabhub.protohype.net,suspend,false,false,,false
carrot.army,suspend,false,false,,false
cat.social,silence,false,false,,false
catgirl.life,suspend,false,false,,false
catgram.co,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
cdrom.tokyo,suspend,false,false,,false
celebrity.social,suspend,false,false,,false
censorship.icu,suspend,false,false,,false
cesko.social,suspend,false,false,,false
chamba.social,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
chudbuds.org,suspend,false,false,,false
chungus.cc,suspend,false,false,,false
civiq.social,suspend,false,false,,false
ckpg.space,suspend,false,false,,false
clew.lol,suspend,false,false,,false
cliterati.club,suspend,false,false,,false
cloudflare.social,suspend,false,false,,false
cloutfla.re,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
clube.social,suspend,false,false,,false
cmpwn.com,suspend,false,false,,false
cocaine.moe,suspend,false,false,,false
cock.fish,suspend,false,false,,false
cofe.moe,suspend,false,false,,false
coinfundit.com,silence,false,false,,false
collapsitarian.io,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
comfysnug.space,suspend,false,false,,false
comm.network,silence,false,false,,false
community.highlandarrow.com,suspend,false,false,,false
conchrepublic.social,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
controverse.tube,suspend,false,false,,false
coolest.zone,silence,false,false,,false
coolsite.win,suspend,false,false,,false
coom.club,suspend,false,false,,false
counter.social,suspend,false,false,,false
cpluspatch.com,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
crucible.world,suspend,false,false,,false
cryo.icu,silence,false,false,,false
cryptids.online,silence,false,false,,false
crypto-group-buy.com,suspend,false,false,,false
cryptocartel.social,silence,false,false,,false
cryptotalks.social,silence,false,false,,false
cryptotooter.com,silence,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cunny.gay,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberfuck.club,suspend,false,false,,false
cyberretards.xyz,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
d2l.masto.host,suspend,false,false,,false
daffodil-11.org,silence,false,false,,false
danksquad.org,suspend,false,false,,false
darknight-coffee.org,suspend,false,false,,false
daspr.io,suspend,false,false,,false
dbuild.xyz,suspend,false,false,,false
dcomm.net.ua,silence,false,false,,false
dd0s.lol,suspend,false,false,,false
deacon.social,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
declin.eu,suspend,false,false,,false
deepnexus.link,suspend,false,false,,false
definitely-not-archivefedifor.fun,suspend,false,false,,false
degenerates.fail,suspend,false,false,,false
degooglization.icu,suspend,false,false,,false
deko.cloud,silence,false,false,,false
detroitriotcity.com,suspend,false,false,,false
dev.rob365.online,suspend,false,false,,false
develop.gab.com,suspend,false,false,,false
devtube.dev-wiki.de,suspend,false,false,,false
diamondelizaa.com,silence,false,false,,false
diaspsocial.com,suspend,false,false,,false
dickkickextremist.xyz,suspend,false,false,,false
dickshow.social,suspend,false,false,,false
dindon.one,silence,false,false,,false
dingdash.com,suspend,false,false,,false
dirtyhobby.xyz,silence,false,false,,false
disqordia.space,suspend,false,false,,false
dissident.business,suspend,false,false,,false
distrotoot.com,suspend,false,false,,false
dixies.land,suspend,false,false,,false
djitter.com,suspend,false,false,,false
djsumdog.com,suspend,false,false,,false
dline.xyz,silence,false,false,,false
doctors4covidethics.org,suspend,false,false,,false
dogfood.social,suspend,false,false,,false
domo.cafe,suspend,false,false,,false
donteatanimals.org,suspend,false,false,,false
dotnet00.dev,suspend,false,false,,false
dragonborn.app,suspend,false,false,,false
dragonpsi.xyz,suspend,false,false,,false
dresden.network,silence,false,false,,false
drow.be,suspend,false,false,,false
dtzbts.xyz,suspend,false,false,,false
due.ren,suspend,false,false,,false
ebin.club,suspend,false,false,,false
ebin.zone,silence,false,false,,false
ediot.social,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eightpoint.app,silence,false,false,,false
elementality.org,suspend,false,false,,false
elonsucks.org,suspend,false,false,,false
emacs.ch,suspend,false,false,,false
emaw.social,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
enes.lv,suspend,false,false,,false
enigmatic.observer,suspend,false,false,,false
enjoyer.network,suspend,false,false,,false
entire.social,suspend,false,false,,false
epenguin.com,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
equel.social,silence,false,false,,false
